Original,Translate_de_1,Translate_de_2
"Sì non dea nessun don, che guari vaglia,",Geben Sie kein Geschenk für die Heilung.,"Bieten Sie kein Geschenk, das als Heilmittel dienen könnte"
A null’amante tanto l’apregiasse:,"Kein Liebhaber, der sie so sehr liebt:","Auf keinen Liebhaber, der ihn so sehr liebt."
"Doni borsa, guanciale, o tovaglia,","Geschenke Tasche, Kissen oder Tischdecke,","Für meine Lieben Regal, Kissen oder Tischdecke, für meine Geliebten"
"O cinturetta, che poco costasse,","O Armband, das ist billig,","ist von schlechter QualitätO Armband, billig, ist von fragwürdiger Qualität."
"Covriciefo, o aguglier di bella taglia,","Kopfdecke oder schöne Nadel,",Großzügige Kopfdecke oder großzügige Nadeln.
"O gumitol di fil, s’egli ’l degniasse.","Oder gräbt ihn mit Draht, wenn er will.","Ein Strickgeflecht, wenn er es will."
"Ma ciascun uon, c’avesse in sé ragione,","Aber jeder Mensch, der in sich selbst recht hatte,","Jeder Mensch mit gesundem Menschenverstand,"
"O che del mondo ben savio sarebe,","Oder daß er weise war in der Welt,",Oder dass er in der Welt vernünftig war.
"Ma’ don’ di femina non prenderebe,",Er würde keine Frau als Geschenk nehmen.,"Sie würde kein Geschenk von einer Frau machen, sie würde es nicht brauchen."
"Ch’e’ non son che•llacci di tradigione,","Denn es sind nur Bande der Tradition,","Es gibt kein GefühlDenn es sind nur Verbindungen der Gewohnheit, es gibt keine Emotion."
"Ché quella, che faciesse donagione,","Denn die, die eine Spende machen würde","?Warum die, die eine Spende machen würde?"
"Contra la sua natura pecherebe,","Gegen seine Natur würde er sündigen,",Im Gegensatz zu seinem Instinkt würde er sündigen.
E ’n gran follia ciascun gliele porebe,"Und es wäre verrückt, wenn sie es nehmen würde.","Es wäre albern, wenn Sie es nehmen würden."
Sed ella no ’l faciesse a tradigione.,Wenn es nicht Tradition ist.,Wenn es nicht üblich ist.
"Perciò ciascuna pensi, quando dona,","Also, jeder denkt, wenn er spendet,","Wie viel kostet Ihnen jeder, wenn Sie spenden, darüber nachdenken, wie hoch die Kosten sind?"
"Che doni nella guisa, c’ò parlato,","So zu spenden, wie ich es gesagt habe,","Auf die Art, wie ich es gezeigt habe."
"Sì che, quand’ella avrà passata nona,","Damit er, wenn er seine Jugend überwindet,","Er kann sich gern an sein Leben erinnern, damit er, wenn er seine Jugend verbracht hat, mit Genugtuung auf sein Leben zurückblicken kann."
Il guardacuor suo sia sì fodrato,Sein Herz sei so beschützt,Sein Herz sei so behütet.
Ch’ella non cagia a merzé di persona.,Dass er nicht persönlich in die Macht fällt.,Dass es nicht unter die Herrschaft von jemandem fällt.
E ciò tien tutto al ben aver guardato.,Und das hängt alles von einer guten Aufmerksamkeit ab.,Und das hängt alles von einer guten Wachsamkeit ab.
"Al ben guardar fallì’, lassa dolente,","Wenn die gute Aufmerksamkeit fehlschlägt, wird sie traurig,","Wenn die Klugheit fehlschlägt, ist man untröstlich."
"Ché•cciò, c’all’un togliea,   a l’altro donava:","Weil das, was er einem weggenommen hat, dem anderen gespendet hat:","Weil das, was er einem genommen hat, dem anderen gespendet hat."
"Come ’l danaio venia, così n’andava,","Wie der Däne kam, so ging er fort,","Wie der Däne kam, so ging er aus."
Non faciea   forza d’aver rimanente.,"Er war nicht stark genug, um einen Überbleibsel zu bekommen.","Er bemühte sich nicht, einen Überschuss zu erzielen."
"I’ era di ciascun molto prendente,","Ich war sehr interessiert an jedem,",Ich war sehr neugierig auf alle.
"E tutto quanto a un ribaldo i’ ’l dava,","Und alles, was ich einem Dieb gab,","Ich sah ihn nicht mehr, und alles, was ich einem Räuber gab, sah ich nicht mehr."
"Che “Puttana comune” mi chiamava,","Er nannte mich ""Gemeinde Schlampe,""","Dass sie mich ""Frau des verlorenen Lebens"" nannte."
E mi battea   la schiena ben sovente.,Und er schlug mir oft den Rücken.,Und er schlug mir oft den Rücken.
"Quest’iera que’, che più mi piaciea,","Das war es, was ich am meisten mochte,","Das war es, was ich am meisten mochte."
"E gli altri “Amici dolci” i’ apellava,","Und die anderen nannte ich ""Süße Freunde,""","Die anderen nannte ich ""Liebste."""
"Ma solamente   a costui ben volea,",Aber ich liebte nur das hier.,Ich wollte nur das Beste dafür.
Che molto tosto s’apacificava,"Dass er sehr schnell friedlich war,",Dass er sich sehr schnell beruhigt hat.
"Comeco, sì battuta no•m’avea,","Denn wenn er mich nicht geschlagen hat,","Ich wäre nicht hier, wenn er mich nicht besiegt hätte. Ich wäre nicht hier."
Ché troppo dolze mente   mi schufiava.,Dass er mich zu sanft tröstete.,Dass sie mich zu zärtlich ermunterte.
"S’i’ fosse stata, per l’anima mia,","Wenn es für meine Seele gewesen wäre,","die Möglichkeit zu wählen, ob es für meinen Geist die Gelegenheit gewesen wäre, zu entscheiden."
"Ben savia in giovaneza, e conosiente,","Gut gewusst in der Jugend, und einschließlich,","die Wahrheit Ben in der Jugend bekannt und verstanden, die Realität."
"Ch’i’ era allor sì bella, e sì piaciente,","Das war dann so schön, und angenehm,","Heute wird vergessen, dass sie damals so wunderschön und angenehm war, heute wird sie vernachlässigt."
"Che ’n ognie parte novelle ne gia,",Dass alle Teile der Neuen von mir kamen,Dass jedes Segment meiner Nachrichten ankam.
"I’ sarè’ troppo richa, in fede mia;","Ich wäre zu reich, das schwöre ich.","Ich wäre sehr reich, das verspreche ich."
"Ma i’ sì ’l dava tucto a quel dolente,",Aber ich gab es dem unglücklichen...,Ich habe dem unglücklichen Unglück alles gegeben.
"C’a ben far   non fu anche conosciente,","Dass er nicht in der Lage war, Gutes zu tun","Dass er nicht in der Lage war, Gutes zu tun"
Ma tutto dispendea in ribalderia.,Aber alles gab es rücksichtslos aus.,Aber alles gab es für Unverschämtheit aus.
Né no•gli piaque nulla risparmiare,Er spart auch nichts.,"Er liebte es nicht, alles auszugeben."
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,",Dass alles nicht trank und nicht spielte.,Dass niemand es schmeckt und es nicht benutzt.
Tant’era tenperato a pur mal fare!,"Sie war so sehr geneigt, Böses zu tun.","Er war so sehr geneigt, das Böse zu tun!"
"Sì c’a la fin convene ch’i’ lasciasse,","Also sollte ich ihn am Ende verlassen,","Schließlich erwies er sich als nützlich, wenn ich ihn aufgab."
"Quand’i’ non ebi più, che gli donare:",Als ich nichts mehr zu spenden hatte:,Als ich nichts mehr zu bieten hatte
E’ me e sé di gran richeza trasse».,Einen großen Reichtum an mir und an sich zu haben.,Sich große Fülle von sich und mir selbst zu erfreuen.
Così à quella Vechia sermonato.,Das sagte die Alte.,So sprach die Enzianerin.
"Bellacoglienza molto queta è stata,",Schönheit ist sehr ruhig stat,Schönheit war sehr ruhig.
"E molto volontier l’à ascoltata,",Und Sie hörten ihr gerne zu.,"Sie war erfreut, ihr zuzuhören."
E molto e’ n’è ’l su’ cuor rasicurato:,Und sein Herz ist viel beruhigter,Und sein Herz ist viel ruhiger.
"Sì ch’e’ seria legier a far mercato,","So wäre es einfach, Geschäfte zu machen",So machen Sie die Transaktionen einfach.
"Se Gielosia non vi fosse trovata,","Wenn es keine Eifersucht gäbe,","Es gäbe keinen Neid Wenn es keine Eifersucht gäbe, gäbe es keinen Groll."
"E ’ tre portier’, che fanno gran veghiata,","Und die drei Torhüter, die große Wachsamkeit üben,","Und die drei Wächter, die eine große Überwachung durchführen."
Ché ciascun dotta d’eser barattato.,"Weil jeder weiß, wie man eintauscht.","Weil jeder weiß, wie man austauscht."
"Di Mala-Bocca, che già era   morto,","Für Malabocca, der schon tot war",", die Beerdigung war eine traurige Zeremonie für Malabocca, die bereits gestorben war, die Beerdigung war eine melancholische Manifestation."
"Nessun di lor non faciea mala ciera,",Keiner von ihnen machte einen schlechten Ausdruck,Keiner von ihnen sah unangenehm aus.
"Ché, chi l’amasse, sì faria gran torto:","Denn wer ihn liebt, der wird ein großes Unrecht tun.","Denn wer ihn liebt, der wäre ungerecht."
"Ch’e’ non finava di dìe, né da sera,","Denn es endete nicht am Tag, nicht am Abend,","aber um Mitternacht, denn es endete nicht bei Tag, nicht bei Abend, sondern um Mitternacht."
"Di dar a Gielosia nuovo sconforto,",Jehovas Zeugen erneut zu verärgern,Weitere Verwüstung in Eifersucht verursachen.
Né non diciea giamai parola vera.,Und er hat nie ein richtiges Wort gesagt.,Und er sprach nie einen authentischen Satz.
Bellacoglienza la parola prese,"Bellacoglienza nahm das Wort,",Bellacomglienza fand in einer Rede statt.
"E sì rispuose, come ben parlante:","Und er antwortete, wie ein guter Sprecher:","Und er antwortete, wie ein eloquenter Redner:"
"«Gientil madonna, i’ vi fo grazie mante","Liebe Madonna, ich danke Ihnen sehr","Sehr geehrte Dame, ich bin Ihnen sehr dankbar."
Che di vostr’arte mi siete cortese;,Für Ihre Höflichkeit mir gegenüber;,Für Eure Freundlichkeit mir gegenüber.
"Ma ’l fatto de l’amor no•m’è palese,","Aber die Tatsache der Liebe ist nicht offensichtlich,",Das Wesen der Zuneigung ist jedoch nicht offensichtlich.
Se non se in parole trapassante.,Außer in vorübergehenden Worten.,Außer in ephemerischen Sätzen.
Ched i’ sia   di danar ben procacciante?,Kann ich reich an Geld sein?,Kann ich reich an Geld sein?
"I’ n’ò assai, per farne belle spese.","Ich habe eine Menge, um schöne Einkäufe zu machen.","Ich habe genug davon, um große Einkäufe zu tätigen."
"D’avere in me maniera bella e giente,","Um ein schönes Aussehen und eine nette Art und Weise zu haben,","muss man sich bemühen, um einen angenehmen Aspekt zu präsentieren und sich freundlich zu verhalten, muss man gelten."
"A•cciò vogl’i’ ben metter mia balia,",Ich möchte meine Aufmerksamkeit darauf lenken.,Ich möchte mich konzentrieren.
In tal maniera che•ssia   sofficiente.,"So, dass es genug ist.",So erfüllen Sie die Anforderungen.
"Se voi mi parlate di malia,","Wenn Sie mir von Malia erzählen,","Ich verstehe nicht, wenn Sie mit mir über den Zauber reden, ich verstehe nicht"
"Ch’ella non può tornar già cuor di gente,","Dass Sie nicht in die Herzen der Menschen zurückkehren können,",Dass Sie nicht in die Gunst der Menschen fallen können.
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.","Glauben Sie, wer Sie wollen, ich halte Sie für verrückt.","Glauben Sie denen, die Sie mögen, ich halte Sie für eine Unsünde."
"Del bel valetto, che vo’ mi parlate,","Von dem netten Diener, den ihr mir erzählt habt,","Ich weiß nichts von dem hübschen Diener, von dem Sie mir erzählt haben, ich kenne nichts."
"In cui tanta vertute è riposata,","In dem so viel Wert gelegt wird,",In dem er so behütet ist.
"Sed e’ la s’à, per me gli sia chitata:",Er hat es mir gewährt:,"Er hat es, ich gebe es ihm."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","Ich liebe ihn, ich werde ihn lieben wie meinen Bruder.",Ich werde ihn mit brüderlicher Zuneigung lieben.
"Ma per le gioie, ch’e’ m’à presentate,","Aber für die Freuden, die Sie mir vorgestellt haben,","Das Leben hat mir ein großes Geschenk gemacht Für die Freuden, die sie mir angeboten hat, hat mir das Leben ein großes Geschenk gemacht."
La mi’ veduta no•gli fia vietata;,Meine Meinung wird ihm nicht verboten;,Meine Meinung wird ihm nicht vorenthalten.
"Ma venga il più che puote a la cielata,","Aber kommen Sie, so viel Sie können zum Gericht,","Kommen Sie, wer kann Aber eilen Sie so viele wie möglich vor Gericht, stellen Sie sich jeder, der kann."
"E, sed e’ piacie a voi, sì ’l ci menate.","Und wenn es Ihnen gefällt, bringen Sie ihn mir.","Wenn es Ihnen gefällt, bringen Sie mich dorthin."
"Ma che sia fatto tosto, san’ dimora,","Aber es soll sofort geschehen, obdachlos,","Aber sofort, unverzüglich."
Perciò che Gielosia non può sofrire,Warum Eifersucht nicht leiden kann,Warum Eifersucht nicht geduldet werden kann
Ched ella stea sanza vedermi un’ora:,"Eine Stunde zu bleiben, ohne mich zu sehen.","Eine Stunde lang zu bleiben, ohne mich zu sehen."
"Ché molte volte si parte per gire,","Weil er oft fährt, um zu drehen,",Weil er oft auf Reisen geht.
"E ’l Diavol, che di notte in lei lavora,","Und der Teufel, der nachts in ihr arbeitet,","Und der Teufel, der nachts auf ihr arbeitet,"
Sì•lla fa mantenente rivenire».,Er bringt sie sofort zurück.,Er bringt sie sofort zurück.
"La Vechia sì la va rasicurando,","Die alte Frau, die ihnen versichert,","sagte die Älteste und beruhigte sie, sagte sie."
E dicie: «Sopra me lascia la cura,"und sagt: ""Lass mich mein Heilmittel sein","""Lass mich für dieses Problem sorgen."
"Di questo fatto; non aver paura,","Vor dieser Tatsache; fürchte dich nicht,",fürchte dich nicht darüber
Chéd io il saprò ben andar cielando.,Denn ich kann gut verstecken gehen,"Denn ich weiß, wie man geschickt verbirgt."
E gisse Gielosia tuttor ciercando,Und er ging hin und suchte noch immer nach Eifersucht.,Und ging Eifersucht und suchte wieder
"Qua entro, sì seria grande sciagura",Hier drin ist ein großes Unglück.,An diesem Ort wäre ein großes Unglück schrecklich.
"S’ella ’l trovasse, ma i’ son sicura","Wenn Sie sie finden, aber ich bin sicher,","Das wird er nicht, wenn Sie es herausfinden, aber ich bin sicher, das wird nicht passieren."
Che poco le varria su’ gir   sogniando».,"Wenn er nur einschlafen würde, indem er träumt.""",Wenn er nur träumend schläft.
"«Dunque potete voi farlo venire,",Also könnt ihr ihn herbringen.,Sie können also seine Anwesenheit provozieren.
"Ma’ ched e’ si contegnia come sagio,","Aber nur, dass er weise handelt,","Aber nur, dass er weise handelt."
Ch’e’ non pensasse a•ffar nesun ardire».,"Und du denkst nicht daran, etwas Kühnes zu tun.","Und du denkst nicht daran, etwas Kühnes zu tun."
"«Figluola mia, e’ non fecie anche oltragio","Meine Tochter, sie schmähte mich nicht","Meine Tochter, ich werde nichts für ungut halten."
"I•nessun luogo, ch’i’ udisse dire,","Nirgendwo, wo ich es gehört habe.","Irgendwo, wo ich es gehört habe."
Ma troppo il loda l’uon di gran vantagio».,Aber zu viel lobt der Mann von großem Vorteil.,Aber zu viel Lob ist ein großer Nutzen für den Menschen.
Alor sì fecier fine al parlamento.,Dann brachte er das Gespräch zu Ende.,Dann beendeten sie die Diskussion.
"La Vechia se ne venne al mi’ ostello,","Die Alte kam zu meiner Herberge,",Die Älteste kam in mein Hotel.
"E disse:   «Avrò io sorcotto e mantello,","und sprach: Ich will meinen Mantel und meinen Mantel nehmen,","Danke""Und er sagte: ""Ich werde der Besitzer des Jacketts und der Haube sein, bitte."""
"Sed i’ t’aporto alcun buon argomento,","Aber ich werde dir eine gute Nachricht bringen,",Aber ich gebe dir eine frohe Nachricht.
Che ti trarrà di questo tuo tormento?».,"daß er dich von deiner Qual erretten wird?""",Was würde dich von deiner Trübsal befreien?
"I’ dissi: «Sì, d’un verde fino e bello;","Ich sagte: ""Ja, mit schönem Grün und feinem Grün,","mit einem blauen Himmel.""Ich rief aus: ""Absolut, mit einer angenehmen und schönen Schlussfolgerung, und einem ceruleus Himmel."""
"Ma, sì sacciate, non fia san’ pennello","Aber ihr sollt wissen, daß es nicht ohne einen Pinsel sein wird.","Aber ihr sollt wissen, daß es nicht ohne eine Bürste sein wird."
"Di grigio, con ogni’altro guernimento».","Grau, mit allen anderen Ornamenten.","Einfarbiges Aussehen, zusammen mit allen anderen Verzierungen."
"D’Amico mi sovenne, che mi disse","Mir fiel ein Freund ein, der zu mir sagte:","Es kam mir ein Vertrauter in den Sinn, der mich informierte."
"Ched i’ faciesse larga promessione,","damit ich ein großes Versprechen gebe,",auf daß ich mich zu einem feierlichen Versprechen verpflichte.
"Ma ’l più, ch’i’ posso, il pagar soferisse:","aber so viel wie möglich zu zahlen, wenn es notwendig ist:","aber so viel wie möglich zu geben, wenn es nötig ist."
Avegnia ch’i’ avea ferma ’ntenzione,wie sehr ich die feste Absicht hatte,"So sehr ich auch die Sehnsucht hatte,"
"De dar ben a coste’, s’ella m’aprisse,","eine Menge zu geben, wenn Sie mir gesagt hätten","zu bieten reichlich, wenn er mich informiert hätte"
Che quell’uscisse   fuor della pregione.,Dass er aus der Gefangenschaft rauskommt.,Dass er sich von der Haft befreien würde.
"La Vechia disse allor: «Amico mio,","Da sagte die Alte: ""Mein Freund,","""Fürchte dich nicht!""Also rief die Seniorerin: ""Mann, fürchte dich nicht!"""
"Queste son le novelle, ch’i’   t’aporto:","Das sind die Neuigkeiten, die ich dir mitbringe:","Das ist die Nachricht, die ich dir überbringe:"
Bellacoglienza salute e conforto,"Schöne Gesundheit und Trost,","Freundliche Gastfreundschaft, Wohlbefinden und Komfort."
"Te manda, se m’aiuti l’alto Dio;","Er schickt dich, wenn mir der hohe Gott helfe;","Er schickt dich, wenn ich die Hilfe des göttlichen Souveräns bekomme."
Sì ch’i’   ti dico ben ched i’   cred’io,"Ich sage dir, ich glaube dir.","Ich sage dir, ich glaube, du bist..."
Che•lla tua nave ariverà a tal porto,Dass dein Schiff zu diesem Hafen kommt,?Dass dein Schiff an dieser Landung landet?
Che•ttu sì coglierai   il Fior dell’orto».,"Dass du die Gartenblume fangen wirst.""",Dass du das Blossoma des Parks sammelst.
"Questo motto fu quel, che mi guerio.",Dieses Motto heilte mich.,Dieses Sprichwort heilte mich.
"«Or te dirò, amico, che farai:","Jetzt sag ich dir, Mann, was wirst du tun:","Ich sage dir, was du machst."
"All’uscio, c’apre verso del giardino,","An der Tür, die zum Garten öffnet,","Zu der Tür, die zum Garten führt"
Ben cheta mente tu te ne verai;,Ruhig wirst du gehen.,"Ganz ruhig, du gehst weg."
"Ed i’   sì me ne vo ’l dritto camino,","Und ich werde den Weg geradeaus gehen,",Ich werde den geraden Weg gehen.
"E sì farò c’aperto il troverai,","Und ich werde sie offen finden,",Und ich werde sie offen finden.
Sì che•ttu avrai   il Fior in tuo dimino».,Damit du die Blume in deiner Obhut hast.,Dann wirst du die Blume besitzen.
"La Vechia atanto da me si diparte,","Da wandte sich die Alte von mir ab,",Die Alte wich von mir ab.
"E ’l camin ebe tosto passegiato,","Und der Weg wurde bald zurückgelegt,",Und der Weg wurde schnell zurückgelegt.
"E quand’i’ fui un poco dimorato,","Und als ich ein wenig aufhörte,","Ich sah ihn, als ich einen Moment verhaftete, bemerkte ich ihn."
"Verso ’l giardin n’andai   da l’altra parte,","Ich ging auf die andere Seite zum Garten,",Ich wanderte in die entgegengesetzte Richtung zum Garten.
"Pregando Idio, che mi conduca ’n parte,","Indem wir Gott bitten, mich auf die Seite zu führen","GutFlehen Gott, mich auf den richtigen Weg zu führen."
Ch’i’ de mia malatia fosse sanato.,Dass meine Krankheit geheilt wurde.,Dass meine Krankheit geheilt ist.
Aperto l’uscio sì ebi trovato;,"Als ich die Tür geöffnet hatte, hatte ich sie gefunden.","Nachdem ich die Tür verpasst hatte, hatte ich sie entdeckt."
Ver è ch’era sochiuso tutto ad arte.,Es war alles kunstvoll geknackt.,Sie war teilweise gründlich geöffnet.
Co•molto gran paura dentro entrai;,Mit großer Angst ging ich hinein.,Mit schrecklichem Schrecken ging ich hinein.
"Ma quand’i’ vidi Malabocca morto,","Aber als ich Malabocca tot sah,","Ich wurde von Trauer überwältigt, als die letzten Malabocca starben, wurde ich von tiefer Traurigkeit überwältigt."
Vie men del fatto mio sì mi dottai.,Ich fühlte mich weniger besorgt wegen meiner Situation.,Ich fühlte mich weniger ängstlich wegen meiner Situation.
"Amor trovai,   che mi diè gran conforto","Ich fand Liebe, die mir großen Trost gab","Ich fand Affekt, der mich sehr erleichterte."
"Co•l’oste sua, e molto m’allegrai","Mit seiner Gastfreundschaft, und ich freue mich sehr",Mit seiner Freundlichkeit freute ich mich sehr.
"Che ciascun v’era, no•vi trarria corto.","Dass jeder da war, werde ich euch nicht kurz halten.","Daß jeder anwesend war, werde ich euch nicht verkürzen."
"Com’i’ v’ò detto, a tutto lor podere","Wie ich euch gesagt habe, auf ihren ganzen Hof","Wie ich euch gezeigt habe, zu ihrem ganzen Besitz"
Lo Dio d’Amor et la sua Baronia,Gott der Liebe und seine Baronie,Göttlichkeit des Wohlwollens und sein Fürstentum
"Presti eran tutti a far senn’e follia,","Bald waren sie bereit, verrückt zu werden.","Sie waren schnell bereit, verrückt zu werden."
Per aconpiérmi tutto ’l mio volere.,Um meinen Willen zu erfüllen.,Um all meine Wünsche zu erfüllen.
Allor pensai s’i’ potesse vedere,"Dann dachte ich, ich könnte es sehen.","Dann dachte ich darüber nach, ob ich zusehen könnte."
Dolze-Riguardo per cosa che sia:,Dolze-Betrachtung für alles.,Süß-In Bezug auf alles.
"Inmantenente Amor a me lo ’nvia,","Liebe schickte es mir sofort,",Bald schickte Liebe ihn mir.
Di che mi fecie molto gran piaciere.,Dass ich mich sehr gefreut habe.,Das hat mich sehr gefreut.
"E que’ sì mi mostrò Bellacoglienza,","Und sie zeigte mir Schönheit,","Und das zeigte mir Höflichkeit,"
"Che ’nmantenente venne a salutarmi,","Dass er sofort kam, um mich zu begrüßen","Er kam, um mich zu begrüßen."
E sì mi fecie grande proferenza;,Und ich freute mich sehr;,Und er brachte mir große Befriedigung.
E po’ sì cominciò a merziarmi,"Und dann fing er an, sich zu freuen","Dann fing er an, zufrieden zu sein."
"Delle mie gioie, di ch’ell’avea voglenza","Von meinen Freuden, die er sich wünschte,","genossenMeine Befriedigungen, von denen er gesehnt hatte, freute er sich."
Di quel presente ancor guiderdonarmi.,Er wollte mich immer noch für die Gegenwart entschädigen.,Er wollte mich immer noch für das Geschenk belohnen.
"I’ le dissi: «Madonna, grazie rendo","Ich sagte zu ihr: ""Frau Ma'am, vielen Dank","""Ich sagte ihr: ""Dame, große Dankbarkeit."""
"A voi, quando prender le degniaste,","Euch, für die Zeit, in der ihr euch erwischt habt,","wurde ein PreisA Sie, für Ihren Kauf, wurde eine Belohnung verliehen."
Ché tanto forte me ne consolaste,Warum habt ihr mich so getröstet?,?Warum haben Sie mich so stark geheilt?
C’a pena mai magior gioia atendo;,Dass ich kaum auf eine größere Freude warte;,Ich wünsche mir gerade eine größere Freude.
"E, s’i’ l’ò mai, da voi aver l’atendo.","Und wenn ich es jemals habe, werde ich auf Sie warten.","Und wenn es nötig ist, erwarte ich es von Ihnen."
"Sì c’a me piacie se ciò, che pigliaste,","So dass ich es mag, wenn das, was Sie genommen haben,","In einer Weise, die mich zufriedenstellt, wenn das, was Sie gekauft haben."
"O la persona mia ancora ingagiaste,","Oder ihr habt euch immer noch mit mir beschäftigt,","Oder ihr habt euch mir noch hingegeben O ihr habt euch noch mit mir aufgetragen, oder ihr habt euch mir noch geweiht."
"O la vendeste, mai non vi contendo».","Oder ihr habt ihn verkauft, ich werde euch nicht widerstehen.""","Oder Sie haben ihn verkauft, ich wehre mich nicht."
Quella mi disse: «Molto gran merzede.,"Sie sagte zu mir: ""Vielen Dank.","Sie sagte zu mir: ""Wunderbare Verdienste."""
"Di me, vi dico, fate ’l somigliante","Von mir, sage ich euch, tut, was es verdient","Über mich, ich sage euch, tut, was ihr wollt."
"C’a bene e a onore i’ v’amo, a•ffede».","Dass ich euch liebe mit Zuneigung und Ehre.""",Ich liebe euch mit Zärtlichkeit und Verehrung.
Delle sue cose i’ non fu’ rifusante;,"Ich widerstrebte seinen Dingen nicht,",Ich widersetzte mich seinen Sachen nicht.
"Ma spesso falla ciò, che ’l folle crede:","Aber oft passiert, was der Verrückte glaubt:","Das, was der Unvernünftige behauptet, erfüllt sich oft."
Così avenne al buon di ser Durante.,So geschah es mit dem guten Ser Langen.,"Nun, Ser... er lernte ein solches Schicksal kennen."
"Quand’i’ vidi l’oferta, che faciea,","Als ich das Angebot sah, das er machte,","Ich entschied mich zu nehmen.Als ich die Option, die er vorschlug, sah, entschied ich mich zu kaufen."
Del fatto mi’ credett’eser ciertano:,"Ich dachte, ich wäre mir sicher.",von meiner sicheren Glaubwürdigkeit
"Allor sì volli al Fior porre la mano,",Dann wollte er Fiore die Hand reichen.,"Dann beschloss man, Fiore zu helfen."
Che molto ringrossato   mi parea.,Das schien mir sehr vergrößert.,Dass es mir sehr übertrieben erschien.
Lo Schifo sopra me forte correa,Der Schleim rannte stark über mich,Der Widerling rannte schnell über mich.
"Diciendo: «Trat’adietro, mal villano,","Mit den Worten: ""Zurück, böse,","Zurück!"" Schreiend: ""Entfernt, böse, fern!"""
"Che•sse m’aiuti Idio e san Giermano,","Mögen mir Gott und der hl. Germanus helfen,",Mögen sie mir Gott und dem heiligen Germanus beistehen.
"I’ non son or quel, ch’i’ esser solea.",Ich bin nicht mehr der Einzige.,"Ich bin nicht mehr ich selbst, wie ich vorher war."
E ’l Diavol sì ti ci à ora menato:,Und der Teufel hat dich jetzt hergebracht:,Und Satan hat dich jetzt hergebracht.
"Se mi trovasti a l’altra volta lento,","Wenn du mich das letzte Mal langsam fandest,","Dieses Mal werde ich schneller sein, wenn du mich das letzte Mal da unten gefunden hast, dieses Mal werde ich schneller sein."
Or  sie ciertan   ch’i’ ti parrò canbiato.,"Jetzt musst du sicher sein, dass ich anders mit dir reden werde.","Jetzt bist du absolut überzeugt, dass ich das Wort ""verwandt"" an dich richte."
Me’ ti varria che fossi a Benivento!».,"Es wäre besser für dich gewesen, wenn du in Benevento wärst!""","Es wäre gut für dich gewesen, wenn du in Benevento wärst!"
"Allora ’l capezal m’ebe pigliato,",Da ergriff mich der Boss.,Dann schnappte ich mir meinen Kopf.
E domandò chi era mi’ guarento.,"Und er fragte, wer mein Bürge sei.","Er fragte, wer mein Bürge sei."
"Po’ sentì ’l fatto Vergognia e Paura,","Dann hörte ich die Tatsache Schande und Angst,",Dann versuchte ich Sensibel und Lernen.
"Quand’ell’udiron quel villan gridare,","Als sie hörten, wie dieser Schreier schreite,","Als die Bewohner dieses bösen Schreiens hörten, brannten sie auf."
"Ciascuna sì vi corse a•llui aitare,","Jedes Rennen, um ihm zu helfen,","Jede ärgerte sich, um ihm zu helfen."
E quello Schifo molto s’assicura.,Und dieser Schleim hat sich stark gemacht.,Dieser Widerwillen wurde sehr intensiv.
"Idio e tutti i santi ciaschun giura,","Gott und alle Heiligen schwören,","Gott und alle Seligen verheißen,"
Ched ele ’l mi faranno conperare:,Die mich büßen lassen:,Das wird mich eine Reparatur kosten.
Allor ciascun mi cominciò a buttare;,"Da fing jeder an, mich zu mißhandeln.","Dann fing jeder an, mich schlecht zu behandeln."
Molto mi fecier dispett’e ladura;,Sie machten mich sehr ärgerlich und schmerzhaft;,Sie brachten mir große Bedrängnis und große Qual.
"E’ disson ch’i’ avea troppo fallato,","Sie sagten, dass ich zu falsch war,","Sie behaupteten, ich habe zu viele Fehler gemacht."
"Po’ che Bellacoglienza, per su’ onore,","Denn Schönheit zu seiner Ehre,","Er nahm es nicht an, weil Bellacomglienza, um seines Respekts willen, ich nicht dulden werde."
"E lei e ’l suo m’avea abandonato,","Und sie und ihr verließen mich,","Und sie und ihr Gefährte hatten sich von mir abgewandt,"
Ched i’ pensava d’inbolarle il Fiore.,"Weil ich dachte, ich würde die Blume täuschen.","Weil ich dachte, ich betrüge die Blume."
"Dritt’era, ch’i’ ne fosse gastigato,","Es war richtig, dass du bestraft wurdest.","Es war richtig, dass du bestraft wurdest."
Sì ch’i’ ne stesse ma’ senpre in dolore.,So dass ich immer Schmerzen hatte.,Damit ich ewig leiden konnte.
Allor Bellacoglienza fu fermata,Dann wurde Bellacoglienza aufgehalten.,In diesem Moment wurde Bellacoglienza blockiert.
"Da questi tre portier’ sotto tre porte,",Von diesen drei Wachen unter drei Türen,Von diesen drei Wächtern unter drei Durchgängen
E’ con una catena molto forte,Mit einer sehr starken Kette,Mit einer sehr robusten Kette
Quella gientil ebero ’ncatenata.,Diese nette Frau wurde angekettet.,Diese gütige Frau wurde eingesperrt.
"Po’ corser sopra me, quella brigata,",Dann rannten diese Bande über mich.,Also stürzte diese Gruppe auf mich.
E disson: «Sopra te cadran le sorte».,"Und sie sagten: ""Auf dich wird das Los fallen.""","Sie riefen aus: ""Dein Schicksal wird dir zustehen."""
