Original,Translate_en_1,Translate_en_2
"Ma guarda che con•llui più non t’inpacci,","But don't try too hard on him,",But don't get too involved with him.
S’e’ non iscioglie prima la maletta.,If he doesn't dissolve his commitment first.,if he doesn't fulfill his obligation first.
"O s’alcun ti mandasse alcuno scritto,","Or if someone sent you a letter,","Would you open it?If someone sent you a missive, would you open it?"
"Sì guarda ben la sua intenzione,","Take a good look at his intention,",Examine his motives carefully.
Ched e’ non abia fintamente scritto;,why he didn't write falsely;,so that he did not make a lie.
"E poi sì glene fa risponsione,","and then do your answer,","Later, provide your reply.Next, give your answer."
"Ma non sì tosto: atendi un petitto,","but not immediately: wait a while,",Wait a minute.
Sì ch’egli un poco stea in sospezone.,so that he remains a little in doubt.,so that he remains a little undecided.
"E quando tu udirai la sua domanda,","And when you hear his question,","answer and when you hear his question, reply"
"Già troppo tosto non sie d’acordanza,","Don't be too ready to agree,",Don't be too excited to be absent.
Né non fare di lui gran rifusanza:,Don't make him a big rejection.,Don't push him away too harshly.
"Nostr’arte sì no ’l vuol, né no ’l comanda.","Our art doesn't want it, nor does it command it.","Our creativity does not claim it, nor does it order it."
Cortesemente da•tte sì ’l ne manda,"Answer him politely,",Answer him politely.
"E stea   il su’ fatto tuttora in bilanza,","And let him do what he wants,",Let him do what he wants.
"Sì ch’egli abia paura, ed isperanza,","So that he has fear and hope,",So that he has fear and expectation.
Insin ch’e’ sia   del tutto a sua comanda.,Until he's completely under your control.,Until it's fully in your power.
"E quand’e’ ti farà più pregheria,","And when he makes more prayers,",And when he prays more.
Tu gli dirai tuttor che•ttu sie presta,You'll always tell him you're ready.,You will constantly inform him that you are prepared.
"A fargli tutta quanta cortesia,","To do him every courtesy,","his familyTo treat him kindly, his family"
E dì che ’l su’ amor forte ti male sta;,And tell him that his love makes you sick;,Tell her that her affection causes you pain.
"E così caccia la paura via,","And so he casts away fear,",And so he casts out the trepidation.
"Po’ dimora con lui, e fagli festa.",Then spend time with him and party with him.,Then spend time with him and celebrate it.
"Gran festa gli farai, e grand’amore,","You're gonna have a great party, and you're gonna love him.","You will organize a great celebration, and a lot of devotion."
E dì come gli ti sè tutta data,"and say that you are all to him,",and you will proclaim that you are all to him.
"Ma non per cosa, ch’e’ t’agia donata,","but not for something that he gave you,",but not because of something he gave you.
Se non per fino e per leal amore;,if not for end and loyal love;,if not for a conclusion and a loyal affection.
"Che•ttu à’ rifiutato gran signore,","For thou hast rejected great lords,","Now thou art in disgrace: for thou hast rejected the eminent gentlemen, now art thou in infamy."
Che ricca mente   t’avrebe donata,that would give you riches.,that would give you plenty.
"“Ma credo che m’avete incantata,","But I think you charmed me,",I think you haunted me.
Per ched i’ son entrata   in quest’errore”.,because I got into this mistake.,Because I made this mistake.
"Allor sì ’l bascierai istrettamente,","Then you will kiss him closely,",Then you will embrace him affectionately.
Pregando ’l che•lla cosa sia sagreta,"praying that thing is secret,",begging for that information to remain confidential.
Sì che no ’l senta mai nessuna giente.,so that no one ever knows.,in such a way that no one ever finds out.
"A•cciò, ch’e’ vorrà fare, istarà’ cheta;","So that he will do what he wants,","We are trying to give him freedom so that he can act as he wishes, we are trying to offer him autonomy."
Ma guarda che non fosse aconsentente,But he didn't agree.,But he wasn't consenting.
"A nessun, se non se per la moneta.","with no one, except for money.",With no one but in exchange for a fee.
Chi ’l su’ amico non pensa di pelare,"Who doesn't think to skin his friend,","He is not a good friendWho does not consider enlightening his companion, is not a valid ally."
"Infin ch’egli agia penna in ala o in dosso,","until he has feathers on or on his wings,","a bird cannot fly until it has feathers on the person or on the wing limbs, a bird cannot fly."
E che d’ogni’altro bene e’ sia sì scosso,and that of every other good has been deprived,and that of every other good has been stripped
"Ched e’ non si ne possa mai   volare,","so that he can no longer fly,","His tail was taken from him so that he could no longer fly, his tail was amputated."
"Quella cotal dovria l’uon manegiare,","He should handle that thing,",You should manipulate that thing.
"Ché, quanto ch’ella costa più di grosso,","because the more it costs,","The greater the loss because, the more expensive, the greater the damage."
"Più fia tenuta cara, dirlo posso,","The more she'll be appreciated, the more I can say,","The more you'll be praised, I can assure you."
E più la vorrà que’ tuttor amare.,And the more he always wants to love her.,and even more will want to affectionate her.
Ché•ttu non pregi nulla cosa mai,"Because you never value anything,","Try to do better because you never appreciate anything, try to do better."
"Se nonn-è quel, che•ttu n’avrà’   pagato:",If not what you've paid for:,beyond what you've spent
"Se poco costa, poco il pregierai;","If it's cheap, you'll pay little attention to it.","If it's cheap, you'll hardly estimate it."
"E quel, che•tti sarà asai   costato,","And what is very costly to you,",and what will be very dear to you.
"A l’avenante caro il ti terrai,","Attractive and dear, you will keep him,",You're gonna get something nice and expensive.
Con tutto n’agie tu ben mal mercato.,You didn't make a good deal with everything.,"With all the accounts, you didn't get a great advantage."
"E al pelar convien aver maniera,","And it's better for the bald to have a way,",And peeling is advisable to have a way.
"Sì che l’uomo aveder non si ’n potesse,",so that man can't see,so that man cannot perceive
"Che tutto in pruova l’uon gli le faciesse,",that the man in trial would do everything to him,that the man under examination all experienced him
Forse ch’e’ volgieria la sua bandiera.,Maybe he wants his flag.,Maybe he'd want his sign.
"Ma faccia sì, la madre, o cianberiera,","But do so, the mother, or the waitress,","That there is a decent dinnerBut make sure, mom or cook, that there is a decent meal."
"Od altri, in cui fidar ben si potesse,","or others in which to be able to confide well,",other people you can rely on.
Che ciascuna di lor sì gli chiedesse,that each of them would ask him,that each of them would ask him
"Paternostri, o coregia, od amoniera.","Our Father, or the Coroncina, or the Hail Mary.","Our Father, or the Coroncina, or the Hail Mary."
"Ancor la cameriera   dica: “Sire,","The waitress says again: ""Lord,","Do you want anything else?""The servant once again exclaims to me: ""Lord, would you like something more?"""
"A questa donna una roba bisogna,",This woman needs something.,This lady needs something.
Ma sì vi teme che no ’l v’osa dire.,But he's afraid he won't dare tell you.,But he's afraid he doesn't have the courage to express it.
"Grande danno l’à già fatto vergognia,",Shame has already done her great harm.,Shame has already done her great harm.
Ma vo’ sì non ’l dovreste sofferire:,But you shouldn't suffer:,But you shouldn't suffer.
Nonn-à dove le carni sue ripognia”.,"He has nowhere to hide his sins.""",There is no place to conceal his transgressions.
Ancor gli dica   un’altra de l’ostello:,Another one from the hostel says:,Another hostel guest claimed.
“Se madonna volesse far follagio,If the lady wants to play a game,If the lady would like to participate in a hobby
"Con un belissim’uon di gran paragio,","with a beautiful man of great value,",With a magnificent gentleman of great value.
"Il fatto suo sarebe ben e bello,","His fact would be beautiful and well done,",His work would be lovely and impeccable.
E sì sarebe donna d’un castello;,and she would be the woman of a castle;,It would be the Lady of a manor.
"Ma ’nverso voi à sì leal coragio,",But he has such a loyal courage toward you.,But he has such a faithful courage toward you.
Ch’ella non prenderebe nul vantagio,that would take no advantage,that would not benefit at all
Di che doman vo’ foste su’ ribello”.,from what you would be his rival tomorrow,from what you would be his opponent tomorrow
"Allor la donna, come ch’e’ le piaccia","Then the woman, how she likes it",", decided to make a decisionThen the woman, as she pleased her, decided to make a choice."
"Udir quelle parole, sì lor dica","hear those words, tell them","listen to those words, say to them"
E comandi che ciascuna si taccia;,and commands that each one be silent;,and order everyone to shut up.
"E puote dir: “Se Dio mi benedica,","And he can say, ""If God bless me,","I'm okay""If the Deity favors me, I'm safe."
"Tropp’ò del su’, quand’i’ l’ò tra•lle braccia”;","I have too much when I have it in my arms.""",I have too much when I squeeze it in my chest.
E faccia   gli sott’al mantel la fica.,and do the pussy under the cloak.,and show off an air of pride under your cloak.
E se•lla donna punto s’avedesse,And if the woman suddenly notices,What if the woman suddenly realizes him?
"Che quel dolente fosse ravisato,","That that pain had been abducted,","It was clear that that sad man had been kidnapped, it was obvious"
"Ch’e’ troppo larga mente l’à donato,","That he gave her too generously,",Who bestowed them in abundance.
"E ch’e’ di sua follia si ripentesse,","And that he repented of his madness,","There was no longer any way for him to regret his imprudence, there was no chance."
Allora in presto domandar dovesse,Then you should ask quickly.,Then you should quickly question
E dir di renderglile a dì nomato;,And say to give it to him on an appointed day;,And declare to return it on a fixed date.
Ma egli è ben in mia lezion vietato,But it's forbidden in my lesson.,"However, it is strictly forbidden in my course."
Ched ella mai nessun non ne rendesse.,May she never return anything.,May she never make anything back.
E quando un altro vien gli faccia segnio,And when another is made a sign to him,And when another is shown to him
"Ched ella sia crudelmente cruciata,","May she be cruelly tormented,","It's not fair that you're brutally distressed, it's not fair."
E dica che•lla roba sua sia ’n pegnio:,And say that your stuff is pawned:,You claim that your assets are given under warranty.
"“Molto mi duole, c’uon crede ch’i’ si’ agiata”.",I'm so sorry that someone thinks I'm upset.,"It pains me deeply, that someone thinks I'm restless."
"E que’ procaccierà danari, o pegnio,","And that will bring in money or pledge,","And that will provide funds or guarantees, to satisfy him."
Sì che la roba sua fie dispegniata.,As long as his stuff's freed.,As long as his property is released.
"E se ’l Diavolo l’avesse fatto sagio,","And if the Devil had made it wise,","And if the devil had made him wise, he would not have provoked him."
E che•lla donna vegia ch’à dottanza,And that the woman should see that there is an education,And that the woman realized that there is a basic knowledge.
"Di non volerle far questa prestanza,","That you don't want to do this to her,",To refuse to carry out this activity.
Imantenente sì gli mandi un gaggio:,Immediately send him a pledge:,You're sending him a gift right now.
"La roba, ch’ella avrà più d’avantaggio,","The stuff, which will give you more advantages,","is betterThe article, which will bring you greater benefits, is preferable."
E dica che•lla tenga in rimenbranza,And say you keep it in memory.,And say you keep it as a souvenir
"De’ suo’ danari, e non faccia mostranza","Of his money, and don't show","Of his riches, and not obstinate"
"Ched e’ le paia noia, né oltragio.","That you seem annoying to him, no outrage.",Whether it's unpleasant or insulting.
"E poi atenderà alcuna festa,",And then he's gonna wait for a party.,So wait for some celebrations.
"Pasqua, o Kalendi Magio,   o Pentecosta,","Easter, or May Calendi, or Pentecost,","Each year is Easter festival, or Calendimaggio, or Pentecost, annually are celebrations to celebrate."
"E sia intorno a•llui, sanza far resta,","And be around him, without making any restrictions,","And be around him, without limitation,"
Diciendo che giamai a la sua costa,Saying that never at its cost,Affirming that never at its own expense
"Non dormirà, se que’ no glele presta",He won't sleep if he doesn't borrow that.,He will not fall asleep if he does not consider it.
La roba: in questa guisa sì glel’osta.,The stuff: this way it hinders her.,The thing: in this way it prevents it.
E s’alcun altro nonn-à che donare,And if no one else has anything to donate,And if no one else has anything to offer
"Ma vorràssi passar   per saramenta,","But he's gonna want to take an oath,",But he'll want to take a solemn oath.
"E dirà che•lla ’ndoman più di trenta,","And he will say that tomorrow he will give him more than thirty,",He'll say he'll deliver more than 30 tomorrow.
"O livre, o soldi, le dovrà recare,","Or pounds, or money, that he must carry,","Or money, or savings, which he must carry."
"Le saramenta   lor non dé pregiare,","The oaths must not evaluate,",The oaths must not be weighted.
Chéd e’ non n’è nesun che non ti menta;,Because there is no one who does not lie;,Why is no one sincere?
"E dicie l’un a l’altro: “La giomenta,","And they say to one another: ""The joy","It is in the air.""They express to each other: ""Happiness pervades the environment."""
"Che•ttu ti sai, mi credette ingannare;","That you know, I believed to deceive;","Trusting what you knew, I assumed I was cheating."
"Ingannar   mi credette, i’ l’ò ’ngannata”.","I believed in deception, I deceived her.""","I cheated, I assumed, I cheated."
Perché già femina non dee servire,Why shouldn't a woman serve?,Why shouldn't a woman serve in the armed force?
Insin che’ella non è prima pagata:,Until you're paid first:,Until you get your fee in advance.
"Ché, quando à fatto, e’ si pensa fugire,","Because when he's done, you think about running away,","Because when you've done the action, you think about running away."
Ed ella si riman ivi scornata.,And she stays ridiculed.,And she stays there mocked.
Per molte volte fui a quel martire.,For many times I have been to that martyrdom.,For many occasions I have endured that torment.
"Sì dé la donna, s’ell’è ben sentita,","Yes, the woman, if she understood it correctly,","She was very wise Yes, the lady, if she grasped correctly, was very sagacious."
"Quando riciever dovrà quell’amante,","when he must receive that lover,",When he has to welcome that lover
"Mostralli di paura gran senbiante,","will show great apprehension,",It will show great concern.
"E ch’ella dotta troppo eser udita,","and that she is too expert to be deceived,",and that she's too experienced to fall into a trap
E che si mette a rischio de la vita.,and that he puts his life at risk.,and that there is a danger of endangering one's existence.
"Allor dé esser tutta tremolante,",Then it's gonna be all flickering.,Then it's gonna be all shaky.
"Dir ch’ivi non puot’eser dimorante,","He will say that he can no longer live there,",He'll say he can't live there anymore.
"Poi stea, che•llor gioia sia conpita.","then it will be, that then joy will be complete.","then, that the satisfaction then be total."
Ancor convien ched ella si’ acorta,She's still better off noticing.,It is still advisable for you to realize
"Di far, ch’e’ v’entri per qualche spiraglio,","to make him enter through a few openings,",Allow him to come in for a few openings.
Ben potess’egli entrarvi per la porta:,If he could well enter through the door:,if it were possible to enter through the door
"Ché tutte cose, c’uom à con travaglio,","For all things, like labor,","they have an end because all things, like agony, come to an end."
"Par c’uon le pregi più, e le diporta.","They appreciate each other more, and they despise each other less.","They exalt themselves more, and they denile themselves less."
"Quel, che non costa, l’uon non pregia un aglio.","What doesn't cost, man isn't appreciated.","What does not have a price, man is not estimated."
"E quand’ella serà rasicurata,","And when you're reassured,","Everything will be okayAnd when you feel safe, everything will be okay."
"Tantosto sì gli dé corere indosso,",He's gonna throw himself at him right now.,He's gonna flip right over him.
"E dir: “Lassa tapina, be•mi posso","And he'll say, ""Forget it, I can.","""He will say, ""Abandon, I can handle myself."""
"Chiamar dolend’, e sì son arivata,","Calling me unhappy, and I'm here,","I call myself unlucky, and I'm here."
"Ched i’ sì amo, e sì non son amata!",because I love so much and am not loved!,Because I have great affection and I am not reciprocated!
"Molt’ò lo ’ntendimento rud’, e grosso,","Much I mean rude and big,",I very much understand it abruptly and largely.
Quando il me’ core s’è sì forte ismosso,when my heart moved so strong,when my heart was so deeply moved
D’esser di voi così inamorata”.,to be so in love with you.,be so passionately in love with you.
"E po’ sì gli rimuova quistione,","And then he'll remove all doubt,",So he's gonna take away all the uncertainty.
"E dica: “La lontana dimoranza,","and will say, ""The long absence,","""He will say: ""The prolonged absence has hurt me deeply."""
"C’avete fatta, nonn-è san’ cagione.","that you did, that's not a good reason.","that you have committed, is not a legitimate motivation."
"Ben so che voi avete un’altr’amanza,","I know you have another lover,","But I need you. I know you have another partner, but I need you."
"La qual tenete in camera, o ’n pregione”.","which you keep in your room or in prison.""",Which you keep in your room or in prison.
Sì mosterà d’averne gran pesanza.,It will prove to be of great importance.,It will show considerable relevance.
"Quando ’l cattivo, ch’è, •ssarà ’nchacato,","When the villain, who will be chained,","will be judgedWhen the evildoer, who will be chained, will be tried"
"La chui pensea non serà veracie,","He will believe that his thoughts are not true,",He will feel that his thoughts are not authentic.
Si crederà che ’l fatto su’ ti piacie,He'll think you like the fact.,He'll imagine you appreciated the fact.
"Tanto, c’ogni’altro n’ài abandonato,","So much, that you've abandoned everyone else,",So much so that you left everyone else behind
"E che ’l tu’ cuor gli s’è tretutto dato,","And that your heart be fully given,",May your soul be entirely donated.
"Né non si guarderà de la fallacie,",Neither will a lie be looked at.,Neither will deceit be observed.
"In che la volpe si riposa, e giacie,",In which the fox rests and lies,Where the fox relaxes and lies
Insin ch’e’ non serà ben corredato.,Until you're well-informed.,Until he's well-educated.
"Ché molt’è folle que’, che cred’avere",Many are crazy who think they have,There are many senseless people who think they have the right opinion.
"Nessuna femina, che•ssia sua propia,","No woman who is his property,",No woman that belongs to him.
"Per don, ched e’ faciesse, di su’ avere.",For what he did with him.,For what he tried to achieve.
"Que’ che•lla vuol, la chegia ’nn-Atiopia,","He who wants, finds it in Ethiopia,","Whoever wants, discovers it in Africa."
"Ché qua no•lla pott’io ancor vedere,","Because I can't see her here yet,",Because I can't see his presence here anymore.
"E, s’ella ci è, si porta l’aritropia.","And if there is, it brings the arrhythmia.","If it exists, there is a tendency to dysrhythmia."
"S’a l’altra parte elle son franche nate,","If they were born free on the other side,","We were born strongerIf on the other side they arose freer, we came to light more vigorous."
"La Legie sì•lle trâ di lor francheza,","The Law deprives them of their freedom,",The Law limits their autonomy.
Dove Natura per sua nobileza,Where Nature for its nobility,remained intactWhere Nature has been preserved in its majesty.
"Le mise, quando prima fur criate.",He put them in when they were created.,He inserted them when they were generated.
"Or l’à la Legie sì condizionate,",Now the Law has conditioned them,Now the Law has limited them
"Ed àlle messe a sì gran distreza,","And put in a great difficulty,",It puts you in an extremely difficult situation.
"Che ciascheduna volontier s’adreza,",that each one willingly strives,that each one strives willingly
Come tornar potesse a franchitate.,how to return to freedom.,regaining freedom.
Vedi l’ucciel del bosco quand’è ’n gabia:,Look at the bird in the woods when he's in a cage:,He's watching the woods while he's in prison.
"E’ chanterà di cuor, ciò vi fi’ aviso,","Singing with your heart, I tell you,","It is a good thing to express with passion, I assure you, it is something that benefits."
"Ma no gli piacie vivanda, ch’egli abia;",But he doesn't like the food he has;,But he doesn't like the food he has;
Ché Natur’ a francheza   l’à sì miso,Why Nature has given him so much freedom,Why did Nature grant him so much autonomy?
"Che giorno e notte de l’uscirne arrabia,","What day and night he gets angry to go out,",That day and night he gets upset to get out.
"Nonn-avrà tanto miglio, o grano, o riso.","He won't have that much mile, or wheat, or rice.","He will not have so much mile, or wheat, or rice. → He will not have much corn, or wheat, or barley."
"E se quell’uon desdir non si degniasse,","And if that man doesn't deign to change his mind,","We wouldn't have the chance to move forward If that individual wouldn't be able to change his point of view, we wouldn't be able to move forward."
"Anzi dirà, per farla più crucciosa,","He will say to make her suffer more,",but that he may suffer more.
"Ch’e’•nn’à un’altra, ch’è•ssì amorosa","that he has another, that she's so in love,","But he doesn't understand that he has another, that he's so fond of, but he's not aware of it."
"Di lui, che per null’altro no ’l canbiasse,","Of him, who wouldn't change it for anything else,","Of him, who wouldn't trade him for anything else."
Guardisi quella che non si crucciasse.,Look at the one that doesn't get too upset.,Look at that without worrying too much.
Con tutto ciò se ne mostri dogliosa,"But with all this, if you show suffering,","Despite this, he was grieved by it."
"Di fuor, ma dentr’al cuor ne sia gioiosa:","Outside, but actually be happy in your heart,","Outside, but actually feel inner joy."
"Ancora più, sed egli s’anegasse.",And even more so if he drowned.,And even more so if he gets abyssed.
E dicagli che già quella vendetta,And tell her that revenge,It was wrong. And you tell her that that reprisal was wrong.
"Non sarà fatta, se non sol per lei,","It will not be done except for her,",it will not be executed except for you.
Sì ch’ella il pagherà di quella detta.,and that you will pay for that word.,and that she will remake it for that term.
Allor da•llui sì mi dipartirei;,"Then I would turn away from him,",Then I'd stay away from him.
"Di far amico mosterè’   gran fretta,","And I would show that I wanted to be friends,",And I would demonstrate my intention to make a friendship.
Sì ch’io in quella anghoscia il lascierei.,because I would leave him in that anguish.,because I would leave him in that affliction.
S’avessi messo termine a un’ora,If he'd put an end to it for an hour...,If a limit had been set for an hour.
"A due, c’avresti fatto gran follia,","or two, you would have made a big mistake,","or two, you would have made a big mistake."
"E l’un conteco in camera sia,","Suppose one's in the room,",Let's imagine one's in the room.
"E l’altro viene apresso san’ dimora,","and the other arrives immediately without delay,",and the other comes immediately without hesitation.
Al di dietro dirai ch’egl’è ancora,From behind you'll say it's still,A babyFrom behind you'll say he's still a kid.
"El signior suo lassù, ch’e’ non poria","Your master up there, who can't","be seenHis ruler at the top, who cannot be glimpsed."
"Far dimoranza, ma tost’una fia:","stop but he'll be back soon,",stop but reappear soon.
"“Il fante, o voi, tornate a poca d’ora”.","""The servant, O you, come back soon,""","The servant, or you, will be back shortly."
"E poi sì ’l butti fuori, e torni suso",And then you throw it out and you go back upstairs.,So you push him out and you go back upstairs.
"E traga l’altro fuor della burella,","And get the other one out of the hiding place,",Frees the other from the secret shelter.
Che molto gli è anoiato star rinchiuso.,It's very boring for him to be locked up.,that it is very monotonous to be confined.
"Posi la guarnacha, e la gonella,","Put on your jacket and skirt,",He's wearing a jacket and a skirt.
Diciendo ch’ell’   è tanto stata giuso,"Saying that she, she was so down",Assuming that you've been beaten down a lot.
"Per lo marito, ch’era nella   ciella.","For her husband, who was in jail.","For the spouse, who was incarcerated."
Ne•letto su’ si metta in braccio   in braccio,Let him put himself in the arms of the other.,He drew near to the other
"Co•llui insiem’, e faccian lor diporto;",And let them have their fun together;,Let them embrace their joy together.
"Ma dica tuttor: “Lassa, crudel torto","But always say, ""Leave me, cruel wrong,","and do not oppress me!""But you always say, ""Abandon me, merciless injustice, and do not exercise oppression over me!"""
"È questo, che ’nverso il mi’ sire faccio”.","I'm going to my lord.""",I'm showing respect to my sovereign.
"E nella gioia, c’à, gli metta inpaccio,","And in the joy he has, embarrass him,","In his enthusiasm, you embarrass him."
Sì ch’egli abia paura e disconforto:,so that he is afraid and despondent:,so that he's scared and desperate
Dicier li dee ch’e’ sarebe morto,You have to tell him he'd be dead.,must inform him that he would die.
"Sanz’averne rispetto, molt’avaccio,","Without respect, very unhappy,","Without regard, very desperate"
"Se•ll’uon sapesse ch’e’ fosse co•llei,","If anyone knew she was with her,","It would be shocking if someone were aware of his state, he would be disconcerted"
"E di’: “Lassa, dolente, malaurata,","and say, ""Leave me, sorrowful and miserable,","Weeping over my lot""Let me, sad and distressed, shed tears for my destiny."
"So che vitiperata   ne sarei,",I know I'd be insulted.,I know I'd be denigrated.
"E ch’i’, per man de’ mie’,   sare’   ismenbrata”.","and that, by the hand of mine, I would be destroyed.""","and that, by my own hands, I would be annihilated."""
"E in questa paura i’ ’l metterei,","And in this fear I would put him,",In this terror I would place him.
Ché da lui ne sarebe più amata.,because she would be more loved by him.,because she would be more appreciated by him.
"Quand’a quel lavorio messi saranno,","When they're engaged in that job,","they will need helpWhen they dedicate themselves to that task, they will need assistance."
"Ben sagia mente degie inoperare,","Wise minds should not operate,","if they haven't thought through acute texts, they shouldn't act, if they haven't thought carefully."
"E l’un atender, e l’altro studiare,","And one wait, and the other study,","One wait, the other examine."
Secondo ch’egli alor si sentiranno;,according to what they will feel;,according to what they will perceive
Né sì non dé parer lor già affanno,And they shouldn't look like they're getting tired.,And they shouldn't look tired.
"Di voler ben a modo mantacare,","To love in a way to maintain,",manifest affection in a lasting way.
C’amendue insieme degian afinare,We both need to sharpen together.,We both need to improve together.
Lor dilettanza;   e dimorasse un anno!,Their pleasure; and if they stayed for a year!,Their happiness; and if they stayed for twelve months!
"E se•lla donna non v’à dilettanza,","And if the woman doesn't like it,","Then you don't have to do it If the woman isn't interested, then you don't have to proceed."
"Sì ’nfinga in tutte guise ch’e’ vi sia,","You deceive by whatever means there is,",Mind it with any way it's there.
Sì gline mostri molto gran senbianza:,Showing very great affection;,Expressing great devotion.
"Istringa ’l forte, e basci ’l tuttavia;",Hold tight and kiss however;,Grab with strength and kiss also.
"Quando l’uom avrà sua dilettanza,","When man has his pleasure,","He will be satisfiedWhen man has his contentment, he will be satisfied."
Sì paia ch’ella tramortita sia.,Pretend you passed out.,Simulate you fainted.
Se l’uon può tanto far ched ella vada,If man can make him go,All goodIf man can assure that everything is going well.
"Al su’ albergo la notte a dormire,","To sleep in his hotel at night,","She spent a lot of moneySpending the night in her night hostel, she invested a great deal of money."
Si dé alla femina ben sovenire,Let the woman remember.,Memories to the woman
Ched ella il faccia star un poco a bada.,Get him to watch for a while.,Have him watch for a period of time.
"E que’, che guarderà tuttor la strada,","And the one who is still looking at the road,",The one who will follow the way again.
Ciertana sie ch’e’ le parrà morire,Surely it will be the fear of dying,Undoubtedly it will be the terrible terror of perishing.
Insin ched e’ no•lla vedrà venire:,Until you see her come:,Until he sees it coming.
"Ché•ll’amor, c’uom atarda, vie più agrada.","Because love, if it's retarded, likes it better.","Because affection, if deferred, is more pleasing."
E quand’ella sarà a l’ostel venuta,"And when she gets to the hostel,",When you reach the hotel.
"Sì dica a que’, che•nn’è sì amoroso,","Tell him who is so in love,","that his devotion is greatInform those who are so passionate, that his dedication is immense."
Ched ella per su’ amor tropp’è arguta;,That for his sake she is too clever;,That out of his affection he's too smart;
"Ché ’l su’ marito n’è troppo gieloso,","That your husband is too jealous,",She knows you're aware that your bridegroom is overly possessive.
Sì che dubita molto esser battuta:,So much so that he doubts being beaten:,So much to question the possibility of defeat.
Così gli faccia forte il pauroso.,So make his fearful strong.,So be courageous in his fear.
Se quel gieloso la tien sì fermata,If that jealous man keeps her stopped,"If that possessive restrains her, she'll be stuck."
"Ch’ella non poss’andar là, ov’ella vuole,","That I can't go there, where you want,","It's a disaster that I can't go there, where you want it, it's a disaster."
"Sì gli faccia intendente   che•ssi duole,",Tell him he's sorry.,Let him know he's sorry.
"D’una sua gotta, che d’averl’è usata:",For a gout that made him suffer:,For a podagra that made him suffer.
"Per ch’e’ convien ch’ella sia   stufata,",That's why I better be fed up.,This is why it is recommended that it be cooked over a slow heat.
"Ché colla stufa guerir se ne suole,","Because the stove usually heals,","It is better not to bring it because usually the stove can cure, it would be preferable not to carry it."
"Po’ bullirà ramerin, e viuole,","Then it will boil copper, violets",", and chivesNextly, it will boil rue, violet, and wild onion"
"E camamilla, e salvia, e fie bagniata.","And chamomile, sage, and it'll be wet.","And chamomile, sage, and it'll be moist."
"E ’l gieloso dirà: “Va arditamente,","And the jealous will say, ""Go boldly,","But come back soon!""And the possessive will say, ""Go boldly, but return quickly!"""
E mena teco buona conpagnia”;,"And bring good company with you.""",Take a good group of friends with you.
"Ma molto ne fia   nel su’ cuor dolente,","But much will be in his sorrowful heart,",But much will be kept in his afflicted heart.
Ma vede ch’e’ desdir no ’l gliel poria.,But he couldn't say no.,But notice that rejecting would not be possible.
"Quella mena conseco alcuna giente,",She brings with her no people,She accompanies some individuals
La qual sapranno ben sua malatia.,Which will know your illness very well.,Who will know deeply his affliction.
Ancor non dé aver femina credenza,No woman believes yet,No female has faith yet
"Che nessun huon malia far le potesse,",That no man could hurt her,That no man should bring her harm
"Néd ella ancor d’altrui, s’ella potesse","Nor you to anyone else, if you could,","She wouldn't say that to anyone else, if she could, she would express that."
C’altri l’amasse   contra sua voglienza.,May another love her against her will.,May another court her in spite of her refusal.
"Medea, in cui fu tanta sapienza,","Medea, where there was so much wisdom,","answered the questions Medea, abundant in acumen, gave his answers to the questions."
Non potte far che Giesonò tenesse,He couldn't keep Jason.,It was not possible for him to prevent Jason from holding her.
"Per arte nulla, ch’ella gli faciesse,","With no kind of art he did to him,","He couldn't overcome his fearWith no form of skill that was shown to him, he couldn't overcome his fear."
Sì ch’e’ ’nver’ lei tornasse   la sua ’ntenza.,So that he would return to her his intention.,So that his will would return to her.
"Sì non dea nessun don, che guari vaglia,",Do not give any gift that applies to healing,Do not offer any gifts that can serve as a cure
A null’amante tanto l’apregiasse:,To no lover who appreciates it so much:,To no lover who esteems him so much
"Doni borsa, guanciale, o tovaglia,","Gifts bag, pillow or tablecloth,","to my dearGift, pillow or tablecloth, to my beloved"
"O cinturetta, che poco costasse,","Or strap, which costs little,","is of poor qualityO strap, at low price, is of questionable quality."
"Covriciefo, o aguglier di bella taglia,","Head cover, or needle of a fine size,","Large head cover, or needle of generous proportions."
"O gumitol di fil, s’egli ’l degniasse.","Or a ball of wire, if he pleases him.","A rope weave, if he wanted it."
"Ma ciascun uon, c’avesse in sé ragione,","But every man, who was right in himself,","Each individual, with common sense,"
"O che del mondo ben savio sarebe,","Or that he was wise in the world,",Or that he was sensible in the world.
"Ma’ don’ di femina non prenderebe,","He wouldn't take a woman as a gift,","She wouldn't need it. She wouldn't make a gift from a woman, she wouldn't need it."
"Ch’e’ non son che•llacci di tradigione,","Because they're just ties of tradition,","There is no feeling because they are just connections of habit, there is no emotion."
"Ché quella, che faciesse donagione,",Because the one who would make a donation,Why the one who would make a donation?
"Contra la sua natura pecherebe,","Against his nature he would sin,","In contrast to his instincts, he would sin."
E ’n gran follia ciascun gliele porebe,And it would be crazy if she took it.,It would be a big silly thing if she took it.
Sed ella no ’l faciesse a tradigione.,If he didn't do it by tradition.,If he didn't do it out of custom.
"Perciò ciascuna pensi, quando dona,","So each one thinks, when it gives,","how much it costsSo each one reflects, when it gives, how much the costs"
"Che doni nella guisa, c’ò parlato,","To donate in the way I said,",To bestow the way I have indicated.
