Original,Translate_fr_1,Translate_fr_2
Insin ched e’ no•lla vedrà venire:,Jusqu'à ce qu'il vous voie venir:,Jusqu'à ce qu'il la voie venir.
"Ché•ll’amor, c’uom atarda, vie più agrada.","Parce que l'amour, s'il est retardé, préfère.","Parce que l'affection, si elle est différée, est plus agréable."
E quand’ella sarà a l’ostel venuta,"Et quand elle sera arrivée à l'auberge,",Quand vous arriverez à l'hôtel.
"Sì dica a que’, che•nn’è sì amoroso,","Dites à celui qui est si amoureux,","que sa dévotion est grandeInforme ceux qui sont si passionnés, que son dévouement est immense."
Ched ella per su’ amor tropp’è arguta;,"Qui, par son amour, est trop futée;",Que par son affection il est trop intelligent;
"Ché ’l su’ marito n’è troppo gieloso,","Que son mari est trop jaloux,",Vous savez que votre époux est trop possessif.
Sì che dubita molto esser battuta:,Au point qu'elle doute d'être battue.,Au point de remettre en question la possibilité d'être vaincue.
Così gli faccia forte il pauroso.,Qu'il fasse fort son effrayant.,C'est ainsi qu'il se montre courageux dans sa crainte.
Se quel gieloso la tien sì fermata,Si ce jaloux l'arrête,Si ce possessif vous retient coincée
"Ch’ella non poss’andar là, ov’ella vuole,","Que je ne puisse pas aller là où elle veut,","C'est un désastre que je ne puisse pas aller là où elle veut, c'est un désastre."
"Sì gli faccia intendente   che•ssi duole,",Qu'il lui dise qu'il est désolé.,Qu'il sache qu'il est désolé.
"D’una sua gotta, che d’averl’è usata:",Pour une goutte qui l'a fait souffrir:,Pour une podagra qui l'a fait souffrir.
"Per ch’e’ convien ch’ella sia   stufata,",C'est pour ça que j'en ai marre.,C'est pourquoi il est recommandé qu'elle soit cuite à feu lent.
"Ché colla stufa guerir se ne suole,","Parce qu'avec le poêle il se guérit habituellement,","il est préférable de ne pas l'apporter car habituellement le poêle peut guérir, il serait préférable de ne pas le porter."
"Po’ bullirà ramerin, e viuole,","Puis il va bouillir de cuivre, de violettes",", et cibouletteSuccessivement, bouillira rute, violette, et oignon sauvage"
"E camamilla, e salvia, e fie bagniata.","Et camomille, sauge et sera mouillée.","Et camomille, sauge et sera humidifiée."
"E ’l gieloso dirà: “Va arditamente,","Et le jaloux dira: ""Vas-y courageusement,","Mais reviens vite!""Et le possessif dira: ""Va courageusement, mais reviens vite!"""
E mena teco buona conpagnia”;,"Et apporte avec toi une bonne compagnie.""",Prends un bon groupe d'amis avec toi.
"Ma molto ne fia   nel su’ cuor dolente,","Mais beaucoup de choses seront dans son cœur douloureux,",Mais beaucoup sera gardé dans son cœur affligé.
Ma vede ch’e’ desdir no ’l gliel poria.,Mais vous voyez ce que dire non ne peut pas lui faire.,Mais notez que refuser ne lui serait pas possible.
"Quella mena conseco alcuna giente,",Elle emmène des gens avec elle.,Vous accompagnez des individus.
La qual sapranno ben sua malatia.,Qui connaîtra bien votre maladie.,Qui connaîtra profondément son affliction.
Ancor non dé aver femina credenza,Aucune femme ne croit encore,Aucune femelle n'a encore foi.
"Che nessun huon malia far le potesse,",Que personne ne lui fasse de mal.,Qu'aucun homme ne lui fasse de mal
"Néd ella ancor d’altrui, s’ella potesse","Ni vous à personne d'autre, si vous pouviez,","Vous ne le diriez à personne d'autre, si vous pouviez, ne diriez pas cela."
C’altri l’amasse   contra sua voglienza.,Que quelqu'un d'autre l'aime contre sa volonté.,Que quelqu'un d'autre la courtise malgré son refus.
"Medea, in cui fu tanta sapienza,","Médée, dans laquelle il y avait tant de sagesse,","répondit aux questionsMédée, abondante d'acuité, elle donna ses réponses aux questions."
Non potte far che Giesonò tenesse,Jason ne pouvait pas la garder.,Il n'a pas pu empêcher Jason de la retenir.
"Per arte nulla, ch’ella gli faciesse,","Avec aucune sorte d'art qu'il lui a fait,","Il ne réussit pas à surmonter sa peurAucune forme d'habileté qui lui fut montrée, il ne réussit pas à vaincre sa crainte."
Sì ch’e’ ’nver’ lei tornasse   la sua ’ntenza.,Pour qu'il revienne vers elle.,Pour que sa volonté revienne vers elle.
"Sì non dea nessun don, che guari vaglia,",Ne donnez aucun don valable pour la guérison.,N'offrez aucun cadeau qui puisse servir de remède
A null’amante tanto l’apregiasse:,À aucun amant qui l'apprécie autant:,À aucun amoureux qui l'apprécie autant
"Doni borsa, guanciale, o tovaglia,","d'un sac à main, d'une oreillette ou d'une nappe,","à mes chers cadeaux, oreiller ou nappe, à mes bien-aimés"
"O cinturetta, che poco costasse,","Ou bracelet, qui coûte peu,","est de mauvaise qualitéO bracelet, à bas prix, est de qualité discutable."
"Covriciefo, o aguglier di bella taglia,","Couvre-tête, ou aiguille de belle taille,","Couvre-tête de grande taille, ou aiguille de proportions généreuses."
"O gumitol di fil, s’egli ’l degniasse.","Ou une pelote de fil, s'il l'aimait.","Une corde, s'il le voulait."
"Ma ciascun uon, c’avesse in sé ragione,","Mais tout homme qui avait raison,","Chaque individu, doué de bon sens,"
"O che del mondo ben savio sarebe,","Ou qu'il était sage dans le monde,",Ou qu'il était sensé dans le monde.
"Ma’ don’ di femina non prenderebe,",Il ne prendrait pas une femme en cadeau.,"Il n'en aurait pas besoin, il ne ferait pas un cadeau d'une femme, il n'en aurait pas besoin."
"Ch’e’ non son che•llacci di tradigione,","Parce que ce ne sont que des liens de tradition,","Il n'y a aucun sentimentPuisqu'il n'y a que des connexions d'habitude, il n'y a pas d'émotion."
"Ché quella, che faciesse donagione,",Parce que celle qui ferait un don,?Pourquoi celle qui ferait un don?
"Contra la sua natura pecherebe,","Contre sa nature, il pécherait.","Contrairement à son instinct, il pécherait."
E ’n gran follia ciascun gliele porebe,Et ce serait de la folie qu'il le prenne.,Ce serait stupide s'il le prenait.
Sed ella no ’l faciesse a tradigione.,S'il ne le faisait pas par tradition.,S'il ne le faisait pas habituellement.
"Perciò ciascuna pensi, quando dona,","Donc, chacune pense, quand elle donne,","à ce qu'elles coûtentEn conséquence, chacune réfléchit, lorsqu'elle donne, sur ce que les coûts"
"Che doni nella guisa, c’ò parlato,","De donner comme je l'ai dit,",De donner comme je l'ai indiqué.
"Sì che, quand’ella avrà passata nona,","Pour que, quand il aura dépassé sa jeunesse,","puisse se souvenir avec plaisir de sa vieAfin que, lorsqu'il aura passé sa jeunesse, il puisse rappeler avec satisfaction son existence."
Il guardacuor suo sia sì fodrato,Que son cœur soit si protégé,Que son cœur soit si gardé.
Ch’ella non cagia a merzé di persona.,Qu'il ne tombe pas au pouvoir en personne.,Qu'il ne retombe pas sous la domination de quelqu'un.
E ciò tien tutto al ben aver guardato.,Et tout cela dépend d'une bonne attention.,Et tout cela dépend d'une bonne vigilance.
"Al ben guardar fallì’, lassa dolente,","Si la bonne attention échoue, il se laisse triste,","Si l'abstinence ne réussit pas, on est bouleversé."
"Ché•cciò, c’all’un togliea,   a l’altro donava:","Parce que ce qu'il enlevait à l'un, à l'autre, il donnait:","Parce que ce qu'il dérobait à l'un, à l'autre, donnait."
"Come ’l danaio venia, così n’andava,","Comme le danois venait, il partait,","Comme le danois arrivait, il s'en sortait."
Non faciea   forza d’aver rimanente.,Il n'avait pas la force d'avoir un reste.,Il ne s'efforçait pas d'obtenir un excédent.
"I’ era di ciascun molto prendente,",J'étais très intéressé par tout le monde.,J'étais très curieux de tout le monde.
"E tutto quanto a un ribaldo i’ ’l dava,","Et tout ce que j'ai donné à un voleur,","Je ne le voyais plus Et tout ce que je fournissais à un brigand, je ne le regardais plus."
"Che “Puttana comune” mi chiamava,","Qui m'appelait ""Puttana comune,""","Qu'il m'appelait ""Femme de Vie Disparue."""
E mi battea   la schiena ben sovente.,Et il me battait souvent le dos.,Et il me frappait souvent le dos.
"Quest’iera que’, che più mi piaciea,","C'est ce que j'aimais le plus,",C'est ce que j'aimais le plus.
"E gli altri “Amici dolci” i’ apellava,","Et les autres, je les appelais ""Amis doux.""","Les autres, je les appelais ""Chers."""
"Ma solamente   a costui ben volea,",Mais c'est tout ce que j'aimais.,Je voulais le meilleur pour ça.
Che molto tosto s’apacificava,"Qui se réconciliait très rapidement,",Qui se calmait très vite.
"Comeco, sì battuta no•m’avea,","Parce que s'il ne m'avait pas battu,",Je ne serais pas là s'il ne m'avait pas vaincu. Je ne serais pas là.
Ché troppo dolze mente   mi schufiava.,Ça me réconfortait trop doucement.,Qui me réconfortait avec une tendresse excessive.
"S’i’ fosse stata, per l’anima mia,","Si elle avait été, pour mon âme,","la possibilité de choisir s'il avait été, pour mon esprit, l'occasion de décider."
"Ben savia in giovaneza, e conosiente,","Bien connu dans la jeunesse, et compris,","la véritéBen connu dans la jeunesse, et y compris, la réalité."
"Ch’i’ era allor sì bella, e sì piaciente,","Qu'elle était si belle à l'époque, et agréable,","Aujourd'hui elle est oubliée qu'elle était alors si splendide, et agréable, aujourd'hui elle est négligée."
"Che ’n ognie parte novelle ne gia,",Que toutes les nouvelles de moi arrivaient,Que chaque segment de mes nouvelles arrivait
"I’ sarè’ troppo richa, in fede mia;","Je serais trop riche, je le jure.","Je serais très riche, je le promets."
"Ma i’ sì ’l dava tucto a quel dolente,","Mais je l'ai donné à ce malheureux,",Je donnais tout à ce malheureux malheureux.
"C’a ben far   non fu anche conosciente,",Qu'il n'était pas capable de faire le bien,Qui n'a pas été capable de faire le bien
Ma tutto dispendea in ribalderia.,Mais tout le monde le dépensait inconsidérément.,Mais tout le monde le dépensait en dévouement.
Né no•gli piaque nulla risparmiare,Il n'aimait pas non plus économiser quoi que ce soit.,Il n'aimait pas tout dépenser.
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,",Que tout ne le boive pas et ne le joue pas,Que personne ne le goûte et ne l'emploie
Tant’era tenperato a pur mal fare!,"De toute façon, elle était encline à faire le mal.","De toute façon, il était enclin à commettre le mal."
"Sì c’a la fin convene ch’i’ lasciasse,","Au final, il vaut mieux que je le quitte.","Finalement, il s'est avéré utile que je l'abandonne."
"Quand’i’ non ebi più, che gli donare:",Quand je n'ai plus rien à donner:,Quand je n'avais plus rien à offrir
E’ me e sé di gran richeza trasse».,Trouver une grande richesse de moi et de lui-même.,S'accaparer d'une grande abondance de moi-même et de lui-même.
Così à quella Vechia sermonato.,C'est ce qu'a dit la vieille.,C'est ainsi qu'il a prononcé cette vieille fille.
"Bellacoglienza molto queta è stata,",Bellacoglienza a été très calme,Bellacoglienza a été extrêmement calme.
"E molto volontier l’à ascoltata,",Et vous l'avez écoutée avec plaisir.,Il était heureux de vous écouter.
E molto e’ n’è ’l su’ cuor rasicurato:,Et son cœur est beaucoup plus rassuré,Et son cœur est beaucoup plus calme.
"Sì ch’e’ seria legier a far mercato,","Ainsi, il serait facile de faire des affaires",De manière à rendre les transactions simples.
"Se Gielosia non vi fosse trovata,","S'il n'y avait pas de jalousie,","Il n'y aurait pas d'envie s'il n'y avait pas de jalousie, il n'y aurait pas de rancœur."
"E ’ tre portier’, che fanno gran veghiata,","Et les trois portiers qui font une grande vigilance,",Et les trois gardiens qui font une grande surveillance.
Ché ciascun dotta d’eser barattato.,Parce que tout le monde sait comment échanger.,Parce que tout le monde sait comment échanger.
"Di Mala-Bocca, che già era   morto,","Pour Malabocca, qui était déjà mort",", l'enterrement fut une triste cérémoniePour Malabocca, qui était déjà décédé, l'enterrement fut une manifestation mélancolique."
"Nessun di lor non faciea mala ciera,",Aucun d'eux n'a fait une mauvaise expression.,Aucun d'eux n'a pris l'air déplaisant.
"Ché, chi l’amasse, sì faria gran torto:",Parce que celui qui l'aime ferait un grand tort,Car celui qui l'aime serait injuste.
"Ch’e’ non finava di dìe, né da sera,","Parce que ce n'était pas la fin de la journée, ni le soir,","Mais à minuit, parce qu'il ne cessait pas de jour, ni le soir, mais à minuit."
"Di dar a Gielosia nuovo sconforto,",De donner un nouveau désespoir à la Jalousie,Provoquer une nouvelle désolation à la Jalousie.
Né non diciea giamai parola vera.,Et il ne disait jamais un vrai mot.,Et il ne prononçait jamais une phrase authentique.
Bellacoglienza la parola prese,"Bellaconglienza prit la parole,",Bellaconglienza s'exhibait dans un discours.
"E sì rispuose, come ben parlante:","Et il répondit, comme un bien parlant:","Et il se répliqua, comme un orateur éloquent:"
"«Gientil madonna, i’ vi fo grazie mante","Mademoiselle, je vous remercie beaucoup.","Très chère madame, je vous suis extrêmement reconnaissant."
Che di vostr’arte mi siete cortese;,Pour votre courtoisie envers moi;,Pour votre gentillesse envers moi.
"Ma ’l fatto de l’amor no•m’è palese,","Mais l'amour n'est pas évident,","Cependant, l'essence de l'affection n'est pas évidente."
Se non se in parole trapassante.,Sauf en termes transitoires.,Sauf en phrases éphémères.
Ched i’ sia   di danar ben procacciante?,Puis-je avoir de l'argent ?,Puis-je être riche en argent ?
"I’ n’ò assai, per farne belle spese.",J'en ai beaucoup pour faire des courses.,J'en ai beaucoup pour faire de grands achats.
"D’avere in me maniera bella e giente,","Pour avoir une belle apparence et des manières gentilles,","Il faut s'engagerPour présenter un aspect agréable et se comporter avec courtoisie, il faut s'appliquer."
"A•cciò vogl’i’ ben metter mia balia,",Je veux attirer mon attention.,Je voudrais me concentrer.
In tal maniera che•ssia   sofficiente.,C'est suffisant.,De manière à satisfaire aux exigences.
"Se voi mi parlate di malia,","Si vous me parlez de malia,","Je ne comprends pas si vous me parlez de sort, je ne comprends pas."
"Ch’ella non può tornar già cuor di gente,","Que vous ne pouvez pas retourner dans le cœur des gens,",Que vous ne pouvez pas revenir à la faveur des gens.
"Creda ’l chi vuole, ch’i’ la teng’a•ffollia.","Croyez qui vous voulez, que je vous tiens comme de la folie.","Croyez qui vous aimez, que je vous considère comme une insanie."
"Del bel valetto, che vo’ mi parlate,","Le beau valet que vous m'avez parlé,","Je ne sais rien du charmant serviteur dont vous m'avez parlé, je ne connais rien."
"In cui tanta vertute è riposata,","Dans laquelle il est placé tant de valeur,",Dans lequel il est gardé aussi précieux.
"Sed e’ la s’à, per me gli sia chitata:","Il l'a, pour moi qu'il lui soit accordé:","Il l'a, que je lui accorde."
"S’i’ l’amo, i’ l’amerò come mi’ frate.","Si je l'aime, je l'aimerai comme mon frère.",Je l'aimerai avec affection fraternelle.
"Ma per le gioie, ch’e’ m’à presentate,","Mais pour les plaisirs qu'il m'a présentés,","La vie m'a fait un grand cadeau Pour les délices qu'elle m'a offerts, la vie m'a fait un grand cadeau."
La mi’ veduta no•gli fia vietata;,Mon opinion ne lui sera pas interdite;,Mon opinion ne lui sera pas interdite.
"Ma venga il più che puote a la cielata,","Mais qu'il vienne le plus vite possible à la cour,","Venez qui peut Mais accourez aussi nombreux que possible à la cour, que quiconque puisse se présenter."
"E, sed e’ piacie a voi, sì ’l ci menate.","Et si vous l'aimez, emmenez-le-moi.","Si ça vous plaît, emmenez-moi là-bas."
"Ma che sia fatto tosto, san’ dimora,","Mais qu'il soit fait tout de suite, sans abri,","Mais qu'elle soit accomplie immédiatement, sans délai."
Perciò che Gielosia non può sofrire,Pourquoi la jalousie ne peut pas souffrir,Pourquoi la jalousie ne peut pas tolérer
Ched ella stea sanza vedermi un’ora:,De rester sans me voir une heure:,Rester sans me voir pendant une heure.
"Ché molte volte si parte per gire,","Parce que beaucoup de fois il part pour tourner,",Parce qu'il part souvent pour voyager.
"E ’l Diavol, che di notte in lei lavora,","Et le Diable, qui travaille la nuit chez elle,","Et le démon, qui travaille la nuit sur elle,"
Sì•lla fa mantenente rivenire».,Il la ramène tout de suite.,Ça la ramène tout de suite.
"La Vechia sì la va rasicurando,","La vieille en leur rassurant,","dit la vieille femme en leur tranquillisant,"
E dicie: «Sopra me lascia la cura,"et dit: ""Laisse-moi m'occuper du remède.",Laisse-moi m'occuper de ce problème.
"Di questo fatto; non aver paura,","de ce fait; n'aie pas peur,","Ne vous inquiétez pas, à propos de cela"
Chéd io il saprò ben andar cielando.,Parce que je serai capable d'aller me cacher.,Parce que je saurai cacher habilement
E gisse Gielosia tuttor ciercando,Et Jalousie s'en alla chercher encore,Et il est allé à la Jalousie en recherchant encore
"Qua entro, sì seria grande sciagura","Là-dedans, un grand malheur,","Dans ce lieu, une grande calamité serait terrible."
"S’ella ’l trovasse, ma i’ son sicura","Si vous la trouviez, je suis sûre.","Ce n'est pas le cas si vous le découvrez, mais je suis sûre que ça n'arrivera pas."
Che poco le varria su’ gir   sogniando».,"Si seulement il dormait en rêvant.""",Si seulement elle s'assoyait en rêvant.
"«Dunque potete voi farlo venire,",Alors vous pouvez le faire venir.,Vous pouvez donc provoquer sa présence.
"Ma’ ched e’ si contegnia come sagio,","mais seulement qu'il se comporte avec sagesse,",Mais qu'il agisse sagement.
Ch’e’ non pensasse a•ffar nesun ardire».,Et tu ne penses à rien d'audace.,et ne pensez pas à faire quelque chose de audacieux.
"«Figluola mia, e’ non fecie anche oltragio","Ma fille, il n'a fait aucun outrage.","Ma fille, je ne vais pas vous offenser."
"I•nessun luogo, ch’i’ udisse dire,","Nulle part, que j'ai entendu dire.","Nulle part, que j'entendais raconter."
Ma troppo il loda l’uon di gran vantagio».,Mais trop de louanges à l'homme de grand avantage.,Mais louange excessive est un grand bienfait pour l'homme.
Alor sì fecier fine al parlamento.,C'est alors qu'il a mis fin à la conversation.,Alors ils ont terminé le débat.
"La Vechia se ne venne al mi’ ostello,","La vieille est venue à mon auberge,",La vieille femme est arrivée à mon hôtel.
"E disse:   «Avrò io sorcotto e mantello,","Et il dit: Je prendrai mon manteau et ma cape,","Merci""Et il a dit: ""Je serai le propriétaire de la veste et de la hotte, s'il vous plaît."""
"Sed i’ t’aporto alcun buon argomento,","Mais je t'apporterai de bonnes nouvelles,",Mais je vais t'annoncer une bonne nouvelle.
Che ti trarrà di questo tuo tormento?».,"qui te délivrera de ce tourment?""",Qu'est-ce qui t'éloignerait de cette affliction ?
"I’ dissi: «Sì, d’un verde fino e bello;","J'ai dit: ""Oui, avec un vert fin et beau,","avec un ciel bleu.""J'ai dit: "" Absolument, avec une belle et charmante conclusion, et un ciel ceruléen ."""
"Ma, sì sacciate, non fia san’ pennello",Mais sachez qu'il ne sera pas sans un pinceau,Mais sachez que ce ne sera pas sans brosse.
"Di grigio, con ogni’altro guernimento».","en gris, avec tous les autres ornements.","d'aspect monochrome, avec tous les autres ornements."
"D’Amico mi sovenne, che mi disse","Je me suis souvenu d'Ami, qui m'a dit:","J'ai pensé à quelqu'un d'autre, qui m'a informé."
"Ched i’ faciesse larga promessione,","pour que je fasse une grande promesse,",afin que je m'engage dans une promesse solennelle
"Ma ’l più, ch’i’ posso, il pagar soferisse:",mais de payer autant que possible s'il était nécessaire:,mais d'accorder autant que possible si nécessaire.
Avegnia ch’i’ avea ferma ’ntenzione,Même si j'avais l'intention de le faire.,Même si j'avais une aspiration déterminée
"De dar ben a coste’, s’ella m’aprisse,","de donner beaucoup, s'il m'avait dit","d'offrir abondamment, s'il m'avait informé"
Che quell’uscisse   fuor della pregione.,qu'il sortirait de prison.,qu'il se libérerait de sa détention.
"La Vechia disse allor: «Amico mio,","La vieille femme dit alors: ""Mon ami,","""N'aie pas peur!""La sénatrice s'écria alors: ""Compagne, n'aie pas peur!"""
"Queste son le novelle, ch’i’   t’aporto:",Voici les nouvelles que je t'apporte:,C'est la nouvelle que je te transmets:
Bellacoglienza salute e conforto,"Bellacoglienza santé et réconfort,","Accueil bienveillant, bien-être et confort."
"Te manda, se m’aiuti l’alto Dio;","Il t'envoie, si tu m'aides le haut Dieu;",Il t'envoie si j'obtiens l'aide du Souverain Divin.
Sì ch’i’   ti dico ben ched i’   cred’io,Je te dis que je te crois.,Je t'ai dit que je te croyais.
Che•lla tua nave ariverà a tal porto,Que ton bateau arrivera à ce port.,Qu'est-ce que ton vaisseau arrivera à ce port ?
Che•ttu sì coglierai   il Fior dell’orto».,"Que tu attrapes la Fleur du jardin.""",Que tu vas ramasser le Blossoma du parc.
"Questo motto fu quel, che mi guerio.",Cette devise m'a guéri.,Cet adage m'a guéri.
"«Or te dirò, amico, che farai:","Je vais te dire, mec, que vas-tu faire ?",Je vais te dire ce que tu vas faire.
"All’uscio, c’apre verso del giardino,","À la porte qui ouvre vers le jardin,",À la porte qui mène au jardin
Ben cheta mente tu te ne verai;,"Ne t'inquiète pas, tu vas t'en aller.","Doucement, tu vas t'éloigner."
"Ed i’   sì me ne vo ’l dritto camino,","Et je partirai sur le chemin droit,",Je m'en vais par la route droite.
"E sì farò c’aperto il troverai,",Et je la trouverai ouverte.,Et je vais l'ouvrir.
Sì che•ttu avrai   il Fior in tuo dimino».,Pour que vous ayez la Fleur dans votre garde.,Pour que tu possèdes la Fleur.
"La Vechia atanto da me si diparte,",La vieille femme s'éloigna de moi.,La vieille femme s'éloignait de moi.
"E ’l camin ebe tosto passegiato,","Et le chemin fut bientôt parcouru,",Et le chemin a été parcouru rapidement.
"E quand’i’ fui un poco dimorato,","Et quand j'ai arrêté un peu,","Je l'ai vu quand je me suis arrêté pendant un moment, et je l'ai remarqué."
"Verso ’l giardin n’andai   da l’altra parte,","Je suis allé de l'autre côté vers le jardin,",J'ai erré dans la direction opposée vers le jardin.
"Pregando Idio, che mi conduca ’n parte,",En priant Dieu de m'emmener du côté,BonneEn implorant Dieu de me guider vers la bonne voie.
Ch’i’ de mia malatia fosse sanato.,Que ma maladie soit guérie.,Que mon infirmité soit guérie.
Aperto l’uscio sì ebi trovato;,J'ai trouvé la porte ouverte;,"Déviée, j'avais repéré la porte."
Ver è ch’era sochiuso tutto ad arte.,Tout était enfermé dans l'art.,Il était soigneusement ouvert en partie.
Co•molto gran paura dentro entrai;,"Avec une très grande peur, je suis entré à l'intérieur;","Avec une terrible terreur, je suis entré à l'intérieur;"
"Ma quand’i’ vidi Malabocca morto,","Mais quand j'ai vu Malabocca mort,","J'ai été submergé par la douleur Quand les derniers Malabocca sont décédés, j'ai été submergé par une profonde tristesse."
Vie men del fatto mio sì mi dottai.,Je me suis senti moins inquiet à propos de ma situation.,Je me suis senti moins anxieux à propos de ma situation.
"Amor trovai,   che mi diè gran conforto","J'ai trouvé l'amour, qui m'a donné un grand réconfort.","J'ai trouvé Affetto, qui m'a beaucoup soulagé."
"Co•l’oste sua, e molto m’allegrai","Avec son hospitalité, et je me réjouissais beaucoup","Avec sa gentillesse, je me réjouissais énormément."
"Che ciascun v’era, no•vi trarria corto.","Que tout le monde y était, je ne vais pas vous courtiser.","Que tout le monde était là, je ne vous écourterai pas."
"Com’i’ v’ò detto, a tutto lor podere","Comme je vous l'ai dit, à toute leur ferme","Comme je vous ai exposés, à toute leur propriété"
Lo Dio d’Amor et la sua Baronia,Dieu d'Amour et sa baronnie,Divinité de la bienveillance et sa principauté
"Presti eran tutti a far senn’e follia,","Bientôt, ils étaient prêts à faire de la folie.","Bientôt, ils étaient prêts à faire des folies."
Per aconpiérmi tutto ’l mio volere.,Pour faire tout ce que je veux.,Pour réaliser tous mes désirs.
Allor pensai s’i’ potesse vedere,Alors j'ai pensé que si je pouvais voir,Alors j'ai réfléchi si j'aurais pu observer.
Dolze-Riguardo per cosa che sia:,Dolze-Regard pour n'importe quoi.,Douce-En relation avec n'importe quoi.
"Inmantenente Amor a me lo ’nvia,","Tout de suite Amour me l'envoya,","Tout de suite, l'amour me l'a envoyé."
Di che mi fecie molto gran piaciere.,Ça m'a fait beaucoup de plaisir.,Ça m'a vraiment fait plaisir.
"E que’ sì mi mostrò Bellacoglienza,","Et elle m'a montré Bellacoglienza,","Et elle m'a montré de l'aimableté,"
"Che ’nmantenente venne a salutarmi,",Il est venu me dire au revoir.,Il est venu me dire au revoir.
E sì mi fecie grande proferenza;,Et il m'a fait grand plaisir;,Et cela m'a procuré une grande satisfaction.
E po’ sì cominciò a merziarmi,Puis il s'est mis à s'amuser.,Puis il a commencé à être satisfait.
"Delle mie gioie, di ch’ell’avea voglenza","De mes joies dont il avait le désir,","Il a appréciéDe mes satisfactions, dont il avait convoité, il s'est réjoui."
Di quel presente ancor guiderdonarmi.,Il voulait toujours me compenser pour le présent.,Il voulait toujours me récompenser pour le don.
"I’ le dissi: «Madonna, grazie rendo","Je lui ai dit: ""Madame, merci beaucoup.","""Je les exprime: ""Dame, grande gratitude."""
"A voi, quando prender le degniaste,","À vous, pour quand vous avez attrapé,","a été décerné un prixA vous, pour votre achat, a été accordé une récompense."
Ché tanto forte me ne consolaste,Pourquoi m'avez-vous tellement consolé ?,Pourquoi m'avez-vous tellement réconforté ?
C’a pena mai magior gioia atendo;,Que j'attends à peine une plus grande joie;,Je souhaite juste une plus grande joie.
"E, s’i’ l’ò mai, da voi aver l’atendo.","Et si je l'ai, je l'attends de vous.","Et, en cas de besoin, je l'attends de vous."
"Sì c’a me piacie se ciò, che pigliaste,","Pour que je l'aime si ce que vous avez pris,",Pour me satisfaire si ce que vous avez acheté.
"O la persona mia ancora ingagiaste,",Ou vous vous êtes encore occupés de moi.,"Soit vous vous êtes voués encore à moi, soit vous vous êtes appliqués avec moi, soit vous vous êtes consacrés encore à moi."
"O la vendeste, mai non vi contendo».","Ou vous l'avez vendu, je ne vous contredirai pas.""","Ou vous l'avez vendu, je ne m'y opposerai pas."
Quella mi disse: «Molto gran merzede.,"Elle m'a dit: ""Très grand mérite.","Elle m'a dit: ""Louable mérite."""
"Di me, vi dico, fate ’l somigliante","De moi, je vous le dis, faites ce qu'il mérite.","De moi, je vous le dis, faites ce qu'il faut."
"C’a bene e a onore i’ v’amo, a•ffede».","Que je vous aime avec affection et honneur.""",Que je vous aime avec tendresse et vénération.
Delle sue cose i’ non fu’ rifusante;,"Je n'ai pas hésité à ses affaires,",Je n'ai pas résisté à ses affaires.
"Ma spesso falla ciò, che ’l folle crede:",Mais il arrive souvent ce que le fou croit:,"Souvent, ce que l'insensé prétend se réalise."
Così avenne al buon di ser Durante.,C'est ce qui est arrivé au bon Ser Durant.,"Eh bien, Ser Durant a connu un tel destin."
"Quand’i’ vidi l’oferta, che faciea,","Quand j'ai vu l'offre qu'il faisait,","Quand j'ai regardé l'option qu'il proposait, j'ai choisi d'acheter."
Del fatto mi’ credett’eser ciertano:,du fait que je me croyais sûr,de ma crédibilité sûre
"Allor sì volli al Fior porre la mano,",Alors il voulut mettre la main à Fleur.,Alors il a décidé d'aider Fleur.
Che molto ringrossato   mi parea.,Qu'il avait l'air très grand.,Ça m'a semblé très exagéré.
Lo Schifo sopra me forte correa,La merde courait fort sur moi.,La répugnance courait vite sur moi.
"Diciendo: «Trat’adietro, mal villano,","En disant: ""Reculez, méchant,","Reculez ! ""En criant: Loin, malveillant, loin !"""
"Che•sse m’aiuti Idio e san Giermano,","Que Dieu et saint Germano m'aident,",Que Dieu et saint Germain m'assigne.
"I’ non son or quel, ch’i’ esser solea.",Je ne suis plus ce que j'étais seule.,Je ne suis plus moi-même comme j'étais auparavant.
E ’l Diavol sì ti ci à ora menato:,Et le Diable t'a amené ici maintenant:,Et Satan t'a amené ici maintenant.
"Se mi trovasti a l’altra volta lento,","Si tu m'as trouvé lent la dernière fois,","Cette fois, je serai plus rapide si tu m'as trouvé là-bas la dernière fois, cette fois, je serai plus rapide."
Or  sie ciertan   ch’i’ ti parrò canbiato.,"Maintenant, sois sûr que je vais te parler changé.","Maintenant, sois absolument convaincu que je vais t'adresser le mot transformé."
Me’ ti varria che fossi a Benivento!».,"Tu aurais mieux fait d'être à Bénévent !""",Ça aurait été bien si tu étais à Bénévent !
"Allora ’l capezal m’ebe pigliato,",Alors il m'a attrapé.,Alors il m'a attrapé la tête.
E domandò chi era mi’ guarento.,Et il a demandé qui était mon garant.,Il m'a demandé qui était mon garant.
"Po’ sentì ’l fatto Vergognia e Paura,","Puis j'ai entendu le fait Honte et Peur,",Alors j'ai essayé Sensibilité et Apprentissage.
"Quand’ell’udiron quel villan gridare,","Quand ils ont entendu ce vilain crier,","Les habitants pâlirent quand ils entendirent ce méchant crier, et les habitants blanchirent."
"Ciascuna sì vi corse a•llui aitare,","Chacune a couru pour l'aider,",Chacune d'elles s'est battue pour l'aider.
