Original,Translate_es_1,Translate_es_2
"Non dormirà, se que’ no glele presta",No dormirá si no le presta.,"PrecauciónNo se dormirá, si eso no le da consideración."
La roba: in questa guisa sì glel’osta.,"La mierda, de esta manera se lo impide.",La cosa: de esta manera se lo impide.
E s’alcun altro nonn-à che donare,Y si nadie más tiene nada que donar,Y si nadie más tiene nada que ofrecer
"Ma vorràssi passar   per saramenta,","Pero querrá pasar por un juramento,",Pero querrá pasar por un juramento solemne.
"E dirà che•lla ’ndoman più di trenta,","Y dirá que mañana le dará más de 30,",Dirá que le entregará más de 30 mañana.
"O livre, o soldi, le dovrà recare,","O libras, o dinero, que tiene que traer,","O dinero, o ahorros, que debe transportar."
"Le saramenta   lor non dé pregiare,","Los juramentos no deben evaluar,",Los juramentos no deben ser ponderados.
Chéd e’ non n’è nesun che non ti menta;,Porque no hay nadie que no mienta;,¿Por qué nadie es sincero?
"E dicie l’un a l’altro: “La giomenta,","Y dicen el uno al otro: ""La alegría","Está en el aire.""Se expresan unos a otros: ""La felicidad invade el medio ambiente."""
"Che•ttu ti sai, mi credette ingannare;","Que tú sabes, creí engañar;","Confiando en lo que sabías, supuse que estabas haciendo trampa."
"Ingannar   mi credette, i’ l’ò ’ngannata”.","Engañé, creí, la engañé.""","Hice trampa, supuse, la engañé."
Perché già femina non dee servire,¿Por qué una mujer no debería servir?,¿Por qué una mujer no debería servir en la fuerza armada?
Insin che’ella non è prima pagata:,Hasta que le paguen primero:,Hasta que usted reciba su pago por adelantado.
"Ché, quando à fatto, e’ si pensa fugire,","Porque cuando lo hizo, se piensa en huir,","Porque cuando cometió la acción, se piensa en huir."
Ed ella si riman ivi scornata.,Y ella se queda ahí burlada.,Y ella se queda ahí mofada.
Per molte volte fui a quel martire.,He estado en ese martirio muchas veces.,Para muchas ocasiones he aguantado esa tormenta.
"Sì dé la donna, s’ell’è ben sentita,","Sí, la mujer, si lo ha entendido bien,","ha sido muy sabia, sí, la señora, si ha entendido correctamente, ha sido muy sagaz."
"Quando riciever dovrà quell’amante,","Cuando tenga que recibir a esa amante,",Cuando tenga que dar la bienvenida a esa amante
"Mostralli di paura gran senbiante,","Mostrará una gran preocupación,",Va a tener una gran preocupación.
"E ch’ella dotta troppo eser udita,","y que es demasiado experta para ser engañada,",y que es demasiado experta para caer en la trampa
E che si mette a rischio de la vita.,y arriesgando su vida.,y que corremos el peligro de poner en peligro nuestra existencia.
"Allor dé esser tutta tremolante,","Entonces todo va a temblar,",Entonces todo va a ser vacilante.
"Dir ch’ivi non puot’eser dimorante,",Dirá que ya no puede vivir allí.,Dice que ya no puede vivir allí.
"Poi stea, che•llor gioia sia conpita.","Entonces estará, que entonces la alegría sea completa.","más tarde, que entonces la satisfacción sea total."
Ancor convien ched ella si’ acorta,Aún es mejor que se dé cuenta.,Todavía es aconsejable que se dé cuenta.
"Di far, ch’e’ v’entri per qualche spiraglio,","para hacer que él entre por alguna ventana,",Permitan que entre por unas cuantas aberturas.
Ben potess’egli entrarvi per la porta:,Si tan bien pudiera entrar por la puerta:,si es posible entrar a través de la puerta
"Ché tutte cose, c’uom à con travaglio,","porque todas las cosas, como un parto,","Tienen un fin porque todas las cosas, como una agonía, llegan a su fin."
"Par c’uon le pregi più, e le diporta.","se aprecian más, y se desprecian menos.",se exaltan más y se denigran menos.
"Quel, che non costa, l’uon non pregia un aglio.","Lo que no cuesta, el hombre no es apreciado.","Lo que no tiene precio, no se estima al hombre."
"E quand’ella serà rasicurata,","Y cuando ella se tranquilice,","Todo irá bien y cuando ella se sienta segura, todo irá bien."
"Tantosto sì gli dé corere indosso,",Se le echará encima enseguida.,"De inmediato, se le caerá encima."
"E dir: “Lassa tapina, be•mi posso","Y dirá: ""Olvídalo, yo puedo.","""Él dirá: ""Abandona, yo puedo arreglármelas yo mismo."""
"Chiamar dolend’, e sì son arivata,","Me llamo infeliz, y he llegado,","Me llamo desafortunada, y he llegado."
"Ched i’ sì amo, e sì non son amata!",¡Porque amo tanto y no soy amada!,¡Porque tengo un gran afecto y no me devuelven el favor!
"Molt’ò lo ’ntendimento rud’, e grosso,","Mucho lo quiero decir rudo y grande,",Lo entiendo muy fuerte y grande.
Quando il me’ core s’è sì forte ismosso,cuando mi corazón se ha movido tan fuerte,cuando mi corazón está tan profundamente conmovido
D’esser di voi così inamorata”.,Estar tan enamorada de ti.,Estar tan apasionadamente enamorada de ti.
"E po’ sì gli rimuova quistione,","Y luego le quitará toda duda,",Así que le quitará toda incertidumbre.
"E dica: “La lontana dimoranza,","y dirá: ""La larga ausencia,","Me dolió mucho""dirá: ""La prolongada ausencia, me ha herido profundamente."""
"C’avete fatta, nonn-è san’ cagione.","Lo que hiciste, no es una buena razón.","que cometiste, no es una motivación legítima."
"Ben so che voi avete un’altr’amanza,",Sé que tienes otra amante.,"Pero yo os necesito. Sé que tenéis otra compañera, pero os necesito."
"La qual tenete in camera, o ’n pregione”.","la cual tenéis en la habitación o en la cárcel.""",La cual usted guarda en la habitación o en la cárcel.
Sì mosterà d’averne gran pesanza.,Demostrará que es muy importante.,Evitará una gran importancia.
"Quando ’l cattivo, ch’è, •ssarà ’nchacato,","Cuando el malo, que será encadenado,","será juzgado cuando el malhechor, que será encadenado, sea juzgado"
"La chui pensea non serà veracie,",Creerá que sus pensamientos no son reales.,Él pensará que sus pensamientos no son auténticos.
Si crederà che ’l fatto su’ ti piacie,Creerá que te gusta el hecho.,Imaginará que te gustó el hecho.
"Tanto, c’ogni’altro n’ài abandonato,","Tanto, que cada uno de los demás ha abandonado,",Tanto que todo el mundo te ha dejado atrás.
"E che ’l tu’ cuor gli s’è tretutto dato,","Y que tu corazón sea completamente dado,",Que tu alma sea completamente donada.
"Né non si guarderà de la fallacie,",Ni mirará la mentira,Ni se guardará el engaño
"In che la volpe si riposa, e giacie,",En el que el zorro descansa y yace,En el que el zorro se relaja y se acuesta
Insin ch’e’ non serà ben corredato.,Hasta que esté bien informado.,Hasta que esté bien instruido.
"Ché molt’è folle que’, che cred’avere",Muchos son locos que creen que tienen.,Muchos son tontos que creen que tienen la opinión correcta.
"Nessuna femina, che•ssia sua propia,","Ninguna mujer que sea de su propiedad,",Ninguna mujer que le pertenezca.
"Per don, ched e’ faciesse, di su’ avere.",Por lo que hacía de él.,Por lo que se esforzaba por alcanzar.
"Que’ che•lla vuol, la chegia ’nn-Atiopia,","El que quiere, la encuentra en Etiopía,",Quien lo desee lo descubre en África.
"Ché qua no•lla pott’io ancor vedere,",Porque aquí no puedo verla de nuevo.,Porque aquí no puedo ver su presencia otra vez.
"E, s’ella ci è, si porta l’aritropia.","Y si lo hay, se lleva la arritmia.","Si existe, hay una tendencia a la disrritmia."
"S’a l’altra parte elle son franche nate,","Si del otro lado nacieron libres,","Nosotros nacimos más fuertesSi del otro lado han salido libres, nosotros hemos salido a la luz más vigorosos."
"La Legie sì•lle trâ di lor francheza,","La ley les priva de su libertad,",La Ley limita su autonomía.
Dove Natura per sua nobileza,Donde la Naturaleza por su nobleza,se mantuvo intactaDonde la naturaleza fue preservada en su majestuosidad.
"Le mise, quando prima fur criate.",Las puso cuando fueron creadas.,Las ingresó cuando las crearon.
"Or l’à la Legie sì condizionate,",Ahora la Ley las ha condicionado,Ahora la ley las ha limitado
"Ed àlle messe a sì gran distreza,","Y puestas en una gran dificultad,",Pone en una situación extremadamente difícil.
"Che ciascheduna volontier s’adreza,",que cada una se esfuerza con gusto,que cada una se esfuerza voluntariamente
Come tornar potesse a franchitate.,Cómo volver a la libertad.,Recuperar la libertad.
Vedi l’ucciel del bosco quand’è ’n gabia:,Mira el pájaro del bosque cuando está enjaulado:,Fíjate en el bosque mientras está en la cárcel.
"E’ chanterà di cuor, ciò vi fi’ aviso,","Cantar con el corazón, os lo digo,","Es algo que hace bienExprimir con pasión, se lo aseguro, es algo que vale la pena."
"Ma no gli piacie vivanda, ch’egli abia;",Pero no le gusta la vivanda que tiene;,Pero no le gusta la comida que tiene;
Ché Natur’ a francheza   l’à sì miso,¿Por qué la naturaleza le ha puesto tanta libertad?,?¿Por qué la Naturaleza le ha concedido tanta autonomía?
"Che giorno e notte de l’uscirne arrabia,","Que día y noche se enfada por salir,",Que día y noche se agita para salir.
"Nonn-avrà tanto miglio, o grano, o riso.","No tendrá tanto mijo, ni trigo, ni arroz.","No tendrá tanto mijo, o trigo, o arroz. → No tendrá mucho maíz, o trigo, o cebada."
"E se quell’uon desdir non si degniasse,","Y si ese hombre no se digna a cambiar de opinión,","No tendríamos la posibilidad de seguir adelante si ese individuo no cambiara su punto de vista, no seríamos capaces de avanzar."
"Anzi dirà, per farla più crucciosa,","De hecho, dirá para hacerla sufrir más,","En lugar de eso, para que sufra más"
"Ch’e’•nn’à un’altra, ch’è•ssì amorosa","que tiene a otra, que está tan enamorada,","Pero él no se da cuenta de que él tiene a otra, que es tan afectuosa, pero él no es consciente de ello."
"Di lui, che per null’altro no ’l canbiasse,","De él, que no lo cambiaría por nada más,","De él, que no lo cambiaría por nada más."
Guardisi quella che non si crucciasse.,Mírese a la que no se asusta demasiado.,Observe eso sin preocuparse demasiado.
Con tutto ciò se ne mostri dogliosa,"Pero con todo esto, muéstrese sufriente,","A pesar de ello, se mostró afligido."
"Di fuor, ma dentr’al cuor ne sia gioiosa:","de afuera, pero en realidad sea feliz en el corazón,","De exteriormente, pero en realidad experimentar alegría interior."
"Ancora più, sed egli s’anegasse.",Y más aún si él se ahoga.,"Y más aún, si él se ahogara."
E dicagli che già quella vendetta,Y dígale que esa venganza.,Y dile que esa represalia era errónea.
"Non sarà fatta, se non sol per lei,","no será hecha a menos que sea para ella,",no se ejecutará más que para usted.
Sì ch’ella il pagherà di quella detta.,Y que ella pagará por esa palabra.,Y que usted la refinará por ese término.
Allor da•llui sì mi dipartirei;,"Entonces me alejaría de él,",Entonces me apartaría de él.
"Di far amico mosterè’   gran fretta,","Y mostraría que quiero ser amigo,",Y demostraría mi intención de hacer una amistad.
Sì ch’io in quella anghoscia il lascierei.,Porque yo lo dejaría en esa angustia.,Porque yo lo dejaría en esa aflicción.
S’avessi messo termine a un’ora,Si se hubiera puesto un término por una hora,Si se hubiera fijado un límite durante una hora.
"A due, c’avresti fatto gran follia,","o dos, habrías cometido un gran error,","O dos, habrías cometido un gran error."
"E l’un conteco in camera sia,",Supongamos que uno está en la habitación.,Imaginemos que uno está en la habitación.
"E l’altro viene apresso san’ dimora,","y el otro llega sin demora,",y el otro llegue inmediatamente sin vacilación.
Al di dietro dirai ch’egl’è ancora,Detrás dirás que sigue.,Un niño por detrás dirás que sigue siendo un niño.
"El signior suo lassù, ch’e’ non poria","Su señor arriba, que no puede","ser vistoSu soberano en lo alto, que no puede ser visto."
"Far dimoranza, ma tost’una fia:","Deténgase, pero volverá pronto.","arrestarse, pero volver pronto."
"“Il fante, o voi, tornate a poca d’ora”.","""El sirviente, oh vosotros, volved pronto.""","El sirviente, o usted, volverá pronto."
"E poi sì ’l butti fuori, e torni suso",Y luego lo echas y vuelves arriba.,Así que lo echas y vuelves a la planta superior.
"E traga l’altro fuor della burella,","Y saca al otro del escondite,",Libera al otro del refugio secreto.
Che molto gli è anoiato star rinchiuso.,que le es muy aburrido estar encerrado.,que le es muy monótono estar confinado.
"Posi la guarnacha, e la gonella,","Ponga la chaqueta y la falda,",Lleva la chaqueta y la falda.
Diciendo ch’ell’   è tanto stata giuso,"Diciendo que ella, ella estaba tan deprimida.",Afirmando que ella estaba muy deprimida.
"Per lo marito, ch’era nella   ciella.","Para su marido, que estaba en la cárcel.","Para su cónyuge, que estaba preso."
Ne•letto su’ si metta in braccio   in braccio,Póngase en los brazos del otro,Él se acercó al otro
"Co•llui insiem’, e faccian lor diporto;",Y hagan juntos su diversión;,Alcanzan juntos su alegría.
"Ma dica tuttor: “Lassa, crudel torto","Pero siempre diga: ""Déjame, cruel error,","¡Y no me oprimas!""Pero siempre dices: ""¡Abandóname, despiadada injusticia, y no ejerzas sobre mí opresión!"""
"È questo, che ’nverso il mi’ sire faccio”.","Estoy haciendo hacia mi señor.""",Estoy mostrando respeto a mi soberano.
"E nella gioia, c’à, gli metta inpaccio,","Y en la alegría que tiene, lo avergüenza,","En su entusiasmo, lo avergüenzas."
Sì ch’egli abia paura e disconforto:,para que tenga miedo y desánimo:,para que esté asustado y desesperado
Dicier li dee ch’e’ sarebe morto,Tienes que decirle que estaría muerto.,debe informarle de que habría fallecido.
"Sanz’averne rispetto, molt’avaccio,","sin respeto, muy infeliz,","sin respeto, muy desesperado"
"Se•ll’uon sapesse ch’e’ fosse co•llei,","Si alguien supiera que estaba con ella,","Sería impactado si alguien supiera de su estado, estaría desconcertado."
"E di’: “Lassa, dolente, malaurata,","y di: ""Déjame, dolorido e infeliz,","llorar sobre mi suerte""Déjame, triste y desconsolado, derramar lágrimas por mi destino."
"So che vitiperata   ne sarei,",Sé que sería vituperada.,Sé que me denigraría.
"E ch’i’, per man de’ mie’,   sare’   ismenbrata”.","Y que, a manos de mis padres, estaría destrozada.""","y que, por obra de mis padres, estaría aniquilada."""
"E in questa paura i’ ’l metterei,","Y en este miedo, yo lo pondría,","En este terror, yo lo colocaría."
Ché da lui ne sarebe più amata.,Porque sería más amada por él.,Porque sería más apreciada por él.
"Quand’a quel lavorio messi saranno,","Cuando estén ocupados en ese trabajo,","Necesitarán ayuda Cuando se dediquen a esa tarea, necesitarán ayuda."
"Ben sagia mente degie inoperare,","Mientes sabias no deberían operar,","Si no han reflexionado correctamente, no deben actuar si no han reflexionado con precisión."
"E l’un atender, e l’altro studiare,","Y uno esperar, y el otro estudiar,","Uno espera, el otro examina."
Secondo ch’egli alor si sentiranno;,conforme a lo que se oigan;,según lo que se sientan
Né sì non dé parer lor già affanno,Y no deberían parecer cansados.,Y no deberían parecer cansados.
"Di voler ben a modo mantacare,","De querer a la manera de mantener,",manifestar afecto de manera duradera.
C’amendue insieme degian afinare,Ambos juntos tenemos que afinar.,Ambos juntos tenemos que perfeccionar.
Lor dilettanza;   e dimorasse un anno!,Su placer; ¡y si se quedaran por un año!,Su felicidad; ¡y si se quedaran por doce meses!
"E se•lla donna non v’à dilettanza,","Y si a la mujer no le gusta,","Entonces no tiene que hacerlo si la mujer no está interesada, entonces no está obligada a proceder."
"Sì ’nfinga in tutte guise ch’e’ vi sia,","Engañas con todos los medios que haya,",Miente con todas las formas que haya.
Sì gline mostri molto gran senbianza:,Mostrando un gran afecto;,Expresando gran devoción.
"Istringa ’l forte, e basci ’l tuttavia;","Aprieta fuerte y besa, sin embargo;",Agarra con fuerza y besa también.
"Quando l’uom avrà sua dilettanza,","Cuando el hombre tenga su placer,","Él estará satisfecho cuando el hombre tenga su contentamiento, será satisfecho."
Sì paia ch’ella tramortita sia.,Finge que te desmayaste.,Simula que te desmayaste.
Se l’uon può tanto far ched ella vada,Si el hombre puede hacer que se vaya,Todo bienSi el hombre puede asegurar que todo se vaya maravillosamente.
"Al su’ albergo la notte a dormire,","A dormir en su hotel por la noche,","Ella gastó mucho dinero en pasar la noche en su albergue nocturno, ella invirtió una gran cantidad de dinero."
Si dé alla femina ben sovenire,Hágase recordar a la mujer,Recuerde a la mujer
Ched ella il faccia star un poco a bada.,Que lo mire por un tiempo.,Hacerle observar por un período de tiempo.
"E que’, che guarderà tuttor la strada,","Y el que mirará el camino,",El que seguirá tras el camino.
Ciertana sie ch’e’ le parrà morire,Ciertamente será el miedo a la muerte.,Sin duda será el terror atroz de perecer.
Insin ched e’ no•lla vedrà venire:,Hasta que la vea venir:,Hasta que la vea llegar.
"Ché•ll’amor, c’uom atarda, vie più agrada.","Porque el amor, si es retrasado, le gusta más.","Porque el afecto, si es diferido, es más agradable."
E quand’ella sarà a l’ostel venuta,"Y cuando llegue al albergue,",Cuando llegue al hotel.
"Sì dica a que’, che•nn’è sì amoroso,","Dígale al que está tan enamorado,","que su devoción es grandeInforma a quien es tan apasionado, que su dedicación es inmensa."
Ched ella per su’ amor tropp’è arguta;,Que por su amor es demasiado astuta;,Que por su afecto es demasiado inteligente;
"Ché ’l su’ marito n’è troppo gieloso,","Que su marido está demasiado celoso,",Ella sabe que su novio es demasiado posesivo.
Sì che dubita molto esser battuta:,Tanto que duda de ser derrotada:,Lo suficiente para cuestionar la posibilidad de ser derrotada.
Così gli faccia forte il pauroso.,Así que haga fuerte a su miedoso.,"De este modo, sea valiente en su temor."
Se quel gieloso la tien sì fermata,Si ese celoso la mantiene parada,Si ese posesivo la mantiene atascada.
"Ch’ella non poss’andar là, ov’ella vuole,",Que no pueda ir a donde ella quiera.,"Es una desgracia que no pueda ir allí, donde usted desea, es un desastre."
"Sì gli faccia intendente   che•ssi duole,",Dígale que lo siente.,Hágale entender que lo siente.
"D’una sua gotta, che d’averl’è usata:",Por una gota que le hizo sufrir:,Por una podagra que le hizo sufrir.
"Per ch’e’ convien ch’ella sia   stufata,",Por eso conviene que esté cansada.,Por eso se recomienda que se cocine a fuego lento
"Ché colla stufa guerir se ne suole,","Porque con la estufa se cura normalmente,","Es mejor no llevarla porque normalmente la estufa puede curar, sería preferible no transportarla."
"Po’ bullirà ramerin, e viuole,","Luego hirviendo moreno, violeta.",", y cebollinaSucesivamente, hervirá ruda, violeta, y cebolla silvestre"
"E camamilla, e salvia, e fie bagniata.","Y manzanilla, salvia y estará mojada.","Y manzanilla, salvia y será húmeda."
"E ’l gieloso dirà: “Va arditamente,","Y el celoso dirá: ""Ve con audacia,","Pero vuelve pronto.""Y el posesivo dirá: ""¡Ve audazmente, pero vuelve rápido!"""
E mena teco buona conpagnia”;,"Y trae buena compañía contigo.""",Llévate a un buen grupo de amigos.
"Ma molto ne fia   nel su’ cuor dolente,","Pero mucho estará en su corazón dolorido,",Pero mucho será guardado en su corazón afligido.
Ma vede ch’e’ desdir no ’l gliel poria.,Pero ve que no se lo puede decir.,Pero ten en cuenta que rechazarlo no sería posible.
"Quella mena conseco alcuna giente,",Ella lleva consigo a alguna gente.,Ella acompaña a algunos individuos
La qual sapranno ben sua malatia.,La cual sabrá muy bien su enfermedad.,La cual conocerá profundamente su aflicción.
Ancor non dé aver femina credenza,Ninguna mujer sigue creyendo.,Ninguna hembra todavía tenga fe
"Che nessun huon malia far le potesse,",Que ningún hombre pudiera hacerle daño.,Que ningún hombre le causara daño
"Néd ella ancor d’altrui, s’ella potesse","Ni usted a nadie más, si usted pudiera,","Ella no le diría a ninguna otra persona, si pudiera, lo expresaría."
C’altri l’amasse   contra sua voglienza.,Que otro la amara en contra de su voluntad.,Que otro la cortejara a pesar de su rechazo.
"Medea, in cui fu tanta sapienza,","Medea, donde había tanta sabiduría,","Respondió a las preguntasMedea, abundante de sabiduría, dio sus respuestas a las preguntas."
Non potte far che Giesonò tenesse,No pudo hacer que Jasón la sujetara.,No fue posible evitar que Jasón la retuviera.
"Per arte nulla, ch’ella gli faciesse,","Con ningún tipo de arte que le haya hecho,","Él no pudo superar su miedo Con ninguna forma de habilidad que se le mostró, él no pudo vencer su temor."
Sì ch’e’ ’nver’ lei tornasse   la sua ’ntenza.,Para que su intención volviera hacia ella.,Para que su voluntad volviera hacia ella.
"Sì non dea nessun don, che guari vaglia,",No dé ningún don que valga para la curación,No ofrezcas ningún regalo que pueda servir de cura.
A null’amante tanto l’apregiasse:,A ningún amante que lo aprecie tanto:,A ningún amante que lo valore tanto
"Doni borsa, guanciale, o tovaglia,","Regalos de bolsa, almohadas o manteles,","a mis queridos regalos, almohadas o manteles, a mis amados"
"O cinturetta, che poco costasse,","O correa, que cuesta poco,","es de baja calidadO correa, de bajo precio, es de cuestionable calidad."
"Covriciefo, o aguglier di bella taglia,","Cubrecabezas, o aguja bonita,","Cubrecabezas de gran tamaño, o aguja de generosas proporciones."
"O gumitol di fil, s’egli ’l degniasse.","O ovillo de hilo, si él quisiera.","Un eslabón de cuerda, si él lo desea."
"Ma ciascun uon, c’avesse in sé ragione,","Pero cada hombre, que tenía razón en sí mismo,","Cada individuo, dotado de sentido común,"
"O che del mondo ben savio sarebe,","O que fuera sabio en el mundo,",O que fuera sensato en el mundo.
"Ma’ don’ di femina non prenderebe,","No tomaría a una mujer como regalo,",No lo necesitaría. No haría un regalo de una mujer. No lo necesitaría.
"Ch’e’ non son che•llacci di tradigione,","Porque son sólo lazos de tradición,","No hay sentimiento Porque son sólo conexiones de costumbre, no hay emoción."
"Ché quella, che faciesse donagione,",¿Por qué la que haría una donación?,¿Por qué la que haría una donación?
"Contra la sua natura pecherebe,","En contra de su naturaleza pecaría,","En contraste con su instinto, pecaría."
E ’n gran follia ciascun gliele porebe,Y sería una locura si se lo tomara.,Sería una tontería si lo tomara.
Sed ella no ’l faciesse a tradigione.,Si no lo hace por tradición.,Si no lo hace por costumbre.
"Perciò ciascuna pensi, quando dona,","Así que cada una piensa, cuando da,","a lo que le cuesta Por consiguiente, cada una reflexiona, cuando da, sobre cuánto los costes"
"Che doni nella guisa, c’ò parlato,","Para donar de la manera que he dicho,",Para dar la forma que he indicado.
"Sì che, quand’ella avrà passata nona,","Para que, cuando haya superado la juventud,","pueda recordar con placer su vidaA fin de que, cuando haya pasado la juventud, pueda evocar con satisfacción su existencia."
Il guardacuor suo sia sì fodrato,Que su corazón esté tan protegido,Que su corazón esté tan custodiado.
Ch’ella non cagia a merzé di persona.,Que no caiga en el poder en persona.,Que no caiga bajo el dominio de nadie.
E ciò tien tutto al ben aver guardato.,Y eso depende de una buena atención.,Y eso depende de una buena vigilancia.
"Al ben guardar fallì’, lassa dolente,","Si la buena atención falla, se deja triste,","Si la sagacidad falla, queda desconsolado."
"Ché•cciò, c’all’un togliea,   a l’altro donava:","Porque lo que quitaba a uno, al otro le daba:","Porque lo que le restaba a uno, al otro le daba."
"Come ’l danaio venia, così n’andava,","Como el danés venía, así se iba,","Como el danés venía, así se salía."
Non faciea   forza d’aver rimanente.,No tenía fuerza para tener un resto.,No se esforzaba por conseguir un superávit.
"I’ era di ciascun molto prendente,","Estaba muy interesado en todo el mundo,",Tenía curiosidad por todos.
"E tutto quanto a un ribaldo i’ ’l dava,","Y todo lo que le di a un ladrón,","Ya no lo veía y todo lo que le daba a un ladrón, ya no lo observaba."
"Che “Puttana comune” mi chiamava,","Que me llamaba ""Puta común,""","Que me llamaba ""Mujer de vida disipada."""
E mi battea   la schiena ben sovente.,Y me golpeaba la espalda a menudo.,Y me golpeaba la espalda con frecuencia.
"Quest’iera que’, che più mi piaciea,",Eso es lo que más me gustaba.,Eso es lo que más me gustaba.
"E gli altri “Amici dolci” i’ apellava,","Y los demás los llamaba ""Amigos dulces,""","Los demás los llamaba ""Queridos."""
"Ma solamente   a costui ben volea,",Pero eso es todo lo que quería.,Sólo quería lo mejor para esto.
Che molto tosto s’apacificava,"Que se pacificaba muy rápidamente,",Que se callaba muy rápido.
"Comeco, sì battuta no•m’avea,","Porque si no me había vencido,","No estaría aquí si no me hubiera derrotado a mí, no estaría aquí."
Ché troppo dolze mente   mi schufiava.,Que me consolaba demasiado.,Que me animaba con demasiada ternura.
"S’i’ fosse stata, per l’anima mia,","Si fuera por mi alma,","la posibilidad de elegir si era, por mi espíritu, la oportunidad de decidir."
"Ben savia in giovaneza, e conosiente,","Bien sabido en la juventud, e incluso,","la verdadBen conocida en la juventud, y incluida, la realidad."
"Ch’i’ era allor sì bella, e sì piaciente,","Que era entonces tan hermosa, y agradable,","Hoy es olvidadaQue era entonces tan espléndida, y agradable, hoy es descuidada."
"Che ’n ognie parte novelle ne gia,",Que todas las novelas de mí llegaban,Que cada segmento de mis noticias llegaba
"I’ sarè’ troppo richa, in fede mia;","Sería demasiado rica, lo juro.","Sería inmensamente rica, lo prometo."
"Ma i’ sì ’l dava tucto a quel dolente,",Pero se lo daba todo a ese infeliz.,Le daba todo a ese infeliz desgraciado.
"C’a ben far   non fu anche conosciente,",Que no fue capaz de hacer el bien,Que no pudo hacer el bien
Ma tutto dispendea in ribalderia.,Pero todo lo gastaba en desconsideración.,Pero todo lo gastaba en prodigios.
Né no•gli piaque nulla risparmiare,Tampoco le gustaba ahorrar nada.,No le gustaba gastarlo todo.
"Ch’e’ tutto no ’l bevesse, e no ’l giucasse,",Que todo no lo bebiera ni lo jugara.,Que nadie lo saboree y no lo use.
Tant’era tenperato a pur mal fare!,Estaba tan inclinado a hacer el mal.,¡ Estaba tan inclinado a cometer el mal!
"Sì c’a la fin convene ch’i’ lasciasse,","Así que, al final, es mejor que lo deje.",Al final resultó útil que yo lo abandonara.
"Quand’i’ non ebi più, che gli donare:",Cuando ya no tuve nada que donar:,Cuando ya no tenía nada que ofrecer
E’ me e sé di gran richeza trasse».,Sacar grandes riquezas de mí y de sí mismo.,Acapararse gran abundancia de mí mismo y de sí mismo.
Così à quella Vechia sermonato.,Eso es lo que dijo la Vieja.,Eso fue lo que dijo Anziana.
"Bellacoglienza molto queta è stata,",Bellacoglienza ha stat muy quieta,Hermosa colegialidad ha sido extremadamente tranquila.
"E molto volontier l’à ascoltata,",Y con mucho gusto la escuchó.,Estaba encantado de escucharlo.
E molto e’ n’è ’l su’ cuor rasicurato:,Y su corazón es mucho más tranquilizador.,Y su corazón es mucho más tranquilo.
"Sì ch’e’ seria legier a far mercato,",Así que sería fácil hacer negocios,Para que las transacciones sean simples.
"Se Gielosia non vi fosse trovata,","Si no hubiera celos,","No habría envidia si no hubiera celos, no habría rencor."
"E ’ tre portier’, che fanno gran veghiata,","Y los tres porteros que hacen una gran vigilancia,",Y los tres guardianes que hacen una gran vigilancia.
Ché ciascun dotta d’eser barattato.,Porque todo el mundo sabe cómo canjear.,Porque todo el mundo sabe cómo intercambiar.
"Di Mala-Bocca, che già era   morto,","Para Malabocca, que ya estaba muerto",", el funeral fue una triste ceremonia para Malabocca, que ya había fallecido, el entierro fue una manifestación melancólica."
"Nessun di lor non faciea mala ciera,",Ninguno de ellos hizo una mala expresión.,Ninguno de ellos tomó un aire desagradable.
"Ché, chi l’amasse, sì faria gran torto:","Para que el que lo amara, haría un gran daño",¿ Por qué sería injusto el que lo amara?
"Ch’e’ non finava di dìe, né da sera,","Porque no terminaba de día, ni de noche,","Pero a medianoche, porque no cesaba de día, ni de noche, sino a medianoche."
"Di dar a Gielosia nuovo sconforto,",De volver a desanimar a Celos.,Provocar más desolación en celos.
Né non diciea giamai parola vera.,Y nunca dijo una palabra real.,Y nunca pronunciaba una frase auténtica.
Bellacoglienza la parola prese,"La bondad tomó la palabra,",Hermosa colegialidad se exhibió en un discurso.
"E sì rispuose, come ben parlante:","Y se respondió, como un bien hablador:","Y se respondió, como un orador elocuente:"
"«Gientil madonna, i’ vi fo grazie mante","Querida Virgen, muchas gracias.","Encantadora señora, estoy muy agradecido a usted."
Che di vostr’arte mi siete cortese;,Por su cortesía hacia mí;,Por su bondad hacia mí.
"Ma ’l fatto de l’amor no•m’è palese,","Pero el hecho del amor no es evidente,","Sin embargo, la esencia del afecto no es evidente."
Se non se in parole trapassante.,Excepto en términos transitorios.,Si no en frases efemeras.
Ched i’ sia   di danar ben procacciante?,¿Puedo ser rico en dinero?,¿Puedo ser rico en dinero?
"I’ n’ò assai, per farne belle spese.","Yo tengo mucho, para hacer buenas compras.",Tengo muchos para hacer grandes compras.
"D’avere in me maniera bella e giente,","Para tener un buen aspecto y modales,","Hay que esforzarse para presentar un aspecto agradable y comportarse con cortesía, hay que aplicarlo."
"A•cciò vogl’i’ ben metter mia balia,","Quiero poner mi atención,",Quiero centrarme en ello.
In tal maniera che•ssia   sofficiente.,De tal forma que sea suficiente.,Para cumplir con los requisitos.
"Se voi mi parlate di malia,","Si me hablas de Malia,","No entiendo si me hablas de hechizo, no lo entiendo."
"Ch’ella non può tornar già cuor di gente,","Que no puede volver al corazón de la gente,",Que no puede volver al favor de la gente.
